
# McMurdo Dry Valleys LTER - www.mcmlter.org
# 
#########################################################################################
# MCM LTER data may be used freely with the following restrictions:
# -The Principal Investigator be sent a notice stating reasons for 
# 	acquiring any data and a description of the publication intentions.
# -The Principal Investigator of the data set be sent a copy of any
# 	report or manuscript prior to submission and be adequately cited
# 	in any resultant publications.
# -A copy of any resultant publications should be sent to the MCM LTER data
# 	manager and PI.
# -The end-user follow the guidelines set forth in the LTER Network Data Access Policy, 
#	Data Access Requirements, and General Data Use Agreement found at:
# 	http://www.mcmlter.org/data_guidelines.htm
#########################################################################################
# 
# DESCRIPTION OF COLUMN HEADERS:
# 
# All meteorological stations contain the following column headers:
# METLOCID		Met Station ID - see www.mcmlter.org/data/meteorology/locations/metlocs.html for more info
# DATE_TIME		Date and 24 Hour Time
# 
# The remaining columns depend on the parameters measured at the station and will have a statistic,
# 	followed by and underscore, followed by the parameter:
# 
# Statistics:
# MEAN		Daily/Monthly Mean
# STDDEV	Daily/Monthly Standard Deviation
# MIN		Minimum Daily/Monthly Value
# MAX		Maximum Daily/Monthly Value
# N		Number of Observations (N_COMMENTS = the number of comments. If > 0 refer to original 15-minute data)
# 
# Query Executed: 2015-11-11 19:14:20.0
# 
# METADATA URLs (copy and paste these links into your web browser):
# 
# Beacon Valley Station General Metadata: 
# http://mcm.lternet.edu/content/beacon-valley-meteorological-station-measurements
# Units and Column Descriptions for BENM_AIRT:
# http://mcm.lternet.edu/content/BENMAIRT
# 

METLOCID,DATE_TIME,AVG_AIRT3M,STD_AIRT3M,MIN_AIRT3M,MAX_AIRT3M,N_AIRT3M
BENM,12/12/1993,,,,,0
BENM,12/12/1994,,,,,0
BENM,12/12/1995,,,,,0
BENM,12/12/1996,,,,,0
BENM,12/12/1997,,,,,0
BENM,12/12/1998,,,,,0
BENM,12/12/1999,,,,,0
BENM,11/27/2000,-10.022,1.264184,-11.74,-8.27,40
BENM,11/28/2000,-8.757083,2.042123,-11.95,-5.75,96
BENM,11/29/2000,-5.589063,2.031569,-9.19,-2.82,96
BENM,11/30/2000,-5.086146,1.731142,-9.61,-2.57,96
BENM,12/01/2000,-10.268021,.606903,-11.34,-9.25,96
BENM,12/02/2000,-9.008021,1.342503,-11.19,-6.5,96
BENM,12/03/2000,-8.266875,.90055,-10.09,-6.71,96
BENM,12/04/2000,-9.255104,.646827,-10.43,-7.64,96
BENM,12/05/2000,-9.139479,.452775,-10.22,-8.19,96
BENM,12/06/2000,-8.7425,.616773,-9.84,-7.38,96
BENM,12/07/2000,-8.228333,1.726283,-11.04,-5.7,96
BENM,12/08/2000,-7.181771,.847261,-8.91,-5.86,96
BENM,12/09/2000,-6.578333,1.23396,-8.64,-4.38,96
BENM,12/10/2000,-7.635938,.970781,-9.9,-5.96,96
BENM,12/11/2000,-9.236979,.701988,-10.49,-7.5,96
BENM,12/12/2000,-8.016979,1.322932,-10.28,-6.01,96
BENM,12/13/2000,-8.313125,.795877,-10.05,-6.75,96
BENM,12/14/2000,-9.043333,1.233329,-10.62,-6.77,96
BENM,12/15/2000,-8.693333,1.145929,-11.12,-7.14,96
BENM,12/16/2000,-10.726875,.697586,-12.38,-9.45,96
BENM,12/17/2000,-10.254479,1.054948,-12.55,-8.65,96
BENM,12/18/2000,-9.532083,.917976,-10.86,-8.01,96
BENM,12/19/2000,-8.709688,1.091228,-10.77,-7,96
BENM,12/20/2000,-8.213021,1.171881,-10.41,-6.52,96
BENM,12/21/2000,-9.262083,1.710808,-11.6,-6.73,96
BENM,12/22/2000,-9.516667,.913715,-11.21,-7.94,96
BENM,12/23/2000,-11.758021,.720498,-13.24,-10.44,96
BENM,12/24/2000,-12.734792,.710339,-13.46,-10.49,96
BENM,12/25/2000,-11.197708,.907954,-13.62,-9.97,96
BENM,12/26/2000,-9.250417,1.470005,-11.92,-6.86,96
BENM,12/27/2000,-9.771354,1.312323,-12.67,-7.95,96
BENM,12/28/2000,-11.469063,1.058374,-13.22,-9.72,96
BENM,12/29/2000,-9.802813,1.301379,-12.66,-7.79,96
BENM,12/30/2000,-9.138854,.872561,-10.82,-7.32,96
BENM,12/31/2000,-12.346146,.439338,-12.99,-10.41,96
BENM,01/01/2001,-8.818958,1.688417,-12.19,-6.59,96
BENM,01/02/2001,-9.442188,1.200485,-13.09,-7.12,96
BENM,01/03/2001,-13.847083,.551556,-14.57,-12.31,96
BENM,01/04/2001,-10.711979,1.981694,-14.64,-7.87,96
BENM,01/05/2001,-8.319896,1.34812,-10.63,-6.3,96
BENM,01/06/2001,-8.414896,.915517,-10.34,-6.59,96
BENM,01/07/2001,-9.334896,1.421233,-12.58,-6.86,96
BENM,01/08/2001,-13.841563,.832045,-15.44,-11.83,96
BENM,01/09/2001,-14.18375,1.281038,-15.96,-12.02,96
BENM,01/10/2001,-11.983438,1.307918,-14.17,-9.6,96
BENM,01/11/2001,-13.063646,.970909,-14.86,-11.69,96
BENM,01/12/2001,-13.271875,1.717391,-16.69,-10.84,96
BENM,01/13/2001,-12.567083,1.062289,-14.61,-10.6,96
BENM,01/14/2001,-12.257604,.932929,-13.65,-10.58,96
BENM,01/15/2001,-12.640208,1.104457,-14.21,-10.66,96
BENM,01/16/2001,-11.331979,1.749244,-14.21,-8.94,96
BENM,01/17/2001,-8.593958,2.000375,-12.97,-4.81,96
BENM,01/18/2001,-6.052708,2.156422,-9.56,-2.92,96
BENM,01/19/2001,-7.957188,.992112,-9.7,-5.77,96
BENM,01/20/2001,-9.800521,1.232396,-12.2,-8.04,96
BENM,01/21/2001,-11.690521,.470973,-12.48,-10.82,96
BENM,01/22/2001,-8.364063,2.30675,-13.58,-6.06,96
BENM,01/23/2001,-4.122396,2.257048,-9.38,-1.5,96
BENM,01/24/2001,-3.7725,1.294129,-6.43,-2.01,96
BENM,01/25/2001,-8.656354,.873495,-10.15,-6.26,96
BENM,01/26/2001,-8.66,1.848654,-12.46,-6.43,96
BENM,01/27/2001,-8.110313,1.364239,-11.17,-6.56,96
BENM,01/28/2001,-9.322083,1.453921,-12.71,-7.56,96
BENM,01/29/2001,-10.453542,1.65279,-13.65,-8.37,96
BENM,01/30/2001,-10.826563,1.430028,-13.86,-8.73,96
BENM,01/31/2001,-11.121771,1.47692,-14.23,-9.07,96
BENM,02/01/2001,-13.061563,1.129283,-15.37,-11.51,96
BENM,02/02/2001,-13.090521,.89261,-14.96,-11.3,96
BENM,02/03/2001,-12.786354,2.125144,-15.61,-10.07,96
BENM,02/04/2001,-10.950833,.953522,-12.73,-9.54,96
BENM,02/05/2001,-9.074271,1.487145,-11.5,-7.09,96
BENM,02/06/2001,-8.304271,2.40895,-12.07,-5.29,96
BENM,02/07/2001,-6.40875,2.111195,-10.65,-3.35,96
BENM,02/08/2001,-12.489063,1.686315,-16.04,-9.35,96
BENM,02/09/2001,-15.447396,1.84303,-18.91,-12.62,96
BENM,02/10/2001,-13.769896,2.083979,-17.47,-10.79,96
BENM,02/11/2001,-12.623958,1.775198,-15.91,-10,96
BENM,02/12/2001,-12.419688,1.11842,-14.89,-10.83,96
BENM,02/13/2001,-11.689896,1.433244,-13.76,-9.62,96
BENM,02/14/2001,-12.712396,2.357327,-17.15,-9.25,96
BENM,02/15/2001,-11.875313,2.248138,-16.33,-9.25,96
BENM,02/16/2001,-11.873229,3.12079,-17.04,-7.77,96
BENM,02/17/2001,-10.868542,.519508,-12.08,-9.75,96
BENM,02/18/2001,-11.380938,1.695039,-14.83,-8.36,96
BENM,02/19/2001,-12.261458,1.017741,-14.68,-10.02,96
BENM,02/20/2001,-12.715313,2.234891,-15.51,-9.13,96
BENM,02/21/2001,-14.473333,1.973793,-18.12,-11.48,96
BENM,02/22/2001,-11.757604,1.73643,-15.04,-9.13,96
BENM,02/23/2001,-12.605104,1.080677,-14.71,-10.4,96
BENM,02/24/2001,-12.849167,1.989294,-17.4,-10.26,96
BENM,02/25/2001,-13.758438,1.783869,-17.23,-10.99,96
BENM,02/26/2001,-18.538229,2.260545,-21.97,-15.27,96
BENM,02/27/2001,-19.244167,2.755823,-23.72,-15.47,96
BENM,02/28/2001,-16.653958,2.498328,-21.4,-13.3,96
BENM,03/01/2001,-14.923229,2.694363,-18.96,-9.22,96
BENM,03/02/2001,-15.174792,2.187996,-18.78,-11.75,96
BENM,03/03/2001,-19.013021,2.165772,-22.65,-13.73,96
BENM,03/04/2001,-18.933438,1.444806,-21.45,-15.56,96
BENM,03/05/2001,-19.169375,1.524524,-22.29,-16.44,96
BENM,03/06/2001,-23.18375,1.44616,-27.06,-20.28,96
BENM,03/07/2001,-27.323958,1.922111,-30.71,-23.67,96
BENM,03/08/2001,-27.524271,2.602245,-31.52,-23.66,96
BENM,03/09/2001,-24.904792,2.786039,-28.95,-18.41,96
BENM,03/10/2001,-25.494375,3.339757,-30.24,-20.42,96
BENM,03/11/2001,-25.191042,2.388099,-29.14,-21.18,96
BENM,03/12/2001,-20.625521,4.15171,-28.59,-14.34,96
BENM,03/13/2001,-18.778438,2.041768,-22.73,-14.15,96
BENM,03/14/2001,-22.310521,2.092126,-25.69,-17.84,96
BENM,03/15/2001,-24.569688,2.1503,-28.15,-19.24,96
BENM,03/16/2001,-26.901771,2.359548,-29.69,-20.02,96
BENM,03/17/2001,-30.049063,1.644252,-33.53,-26.5,96
BENM,03/18/2001,-30.735208,2.424381,-34.61,-25.59,96
BENM,03/19/2001,-23.082604,4.778725,-32.9,-18.22,96
BENM,03/20/2001,-25.162813,2.834959,-30.2,-18.49,96
BENM,03/21/2001,-30.237813,1.620441,-33.34,-26.15,96
BENM,03/22/2001,-29.755833,3.151949,-33.89,-22.71,96
BENM,03/23/2001,-29.211354,2.888577,-33.12,-22.75,96
BENM,03/24/2001,-26.293125,3.842239,-32.25,-21.15,96
BENM,03/25/2001,-19.495833,1.661907,-23.03,-17.82,96
BENM,03/26/2001,-12.964479,4.986641,-22.16,-7.68,96
BENM,03/27/2001,-10.817396,2.518086,-15.2,-6.53,96
BENM,03/28/2001,-14.198229,4.024733,-24.04,-8.8,96
BENM,03/29/2001,-19.599479,2.554262,-24.61,-14.39,96
BENM,03/30/2001,-24.126667,1.661952,-26.87,-19.7,96
BENM,03/31/2001,-21.344167,3.719161,-28.23,-15.74,96
BENM,04/01/2001,-21.836979,1.74563,-25.29,-17.34,96
BENM,04/02/2001,-27.783125,1.7225,-31.9,-24.37,96
BENM,04/03/2001,-30.550521,3.793276,-34.5,-18.13,96
BENM,04/04/2001,-20.215521,1.980958,-23.71,-17.09,96
BENM,04/05/2001,-27.166563,1.275457,-29.89,-23.67,96
BENM,04/06/2001,-23.898958,1.097901,-27.26,-22.19,96
BENM,04/07/2001,-25.7725,1.194721,-29.04,-24.02,96
BENM,04/08/2001,-30.744583,1.785078,-33.87,-26.54,96
BENM,04/09/2001,-31.261354,1.456046,-34.55,-27.92,96
BENM,04/10/2001,-31.920313,1.857813,-36.45,-28.63,96
BENM,04/11/2001,-32.353333,1.012906,-34.33,-29.8,96
BENM,04/12/2001,-23.763333,6.085032,-32.24,-16.33,96
BENM,04/13/2001,-15.0075,.962797,-17.11,-13.12,96
BENM,04/14/2001,-16.115625,2.218699,-20.46,-12.4,96
BENM,04/15/2001,-18.5275,.913234,-20.4,-16.63,96
BENM,04/16/2001,-17.163021,.908503,-19.66,-15.88,96
BENM,04/17/2001,-22.992604,1.873452,-26.1,-19.38,96
BENM,04/18/2001,-30.769167,1.781778,-33.79,-25.94,96
BENM,04/19/2001,-31.369583,.828116,-33.5,-29.53,96
BENM,04/20/2001,-35.040417,.842666,-37.15,-32.92,96
BENM,04/21/2001,-36.968229,.995701,-39.24,-34.76,96
BENM,04/22/2001,-38.956458,1.066093,-41.58,-37.05,96
BENM,04/23/2001,-34.503333,3.075956,-40.4,-29.86,96
BENM,04/24/2001,-33.34375,2.194951,-37.44,-29.2,96
BENM,04/25/2001,-31.064583,3.908285,-37.78,-23.33,96
BENM,04/26/2001,-20.873646,2.033594,-27.27,-18.33,96
BENM,04/27/2001,-24.975417,3.091641,-29.3,-18.57,96
BENM,04/28/2001,-22.540104,1.763327,-26.28,-18.67,96
BENM,04/29/2001,-28.980521,3.272548,-34.84,-23.6,96
BENM,04/30/2001,-21.245208,1.151888,-23.3,-18.49,96
BENM,05/01/2001,-21.539167,3.381191,-27.98,-17.87,96
BENM,05/02/2001,-21.426771,1.009795,-23.62,-19.59,96
BENM,05/03/2001,-22.405208,3.142789,-28.61,-18.39,96
BENM,05/04/2001,-32.486979,2.543605,-36.58,-27.25,96
BENM,05/05/2001,-35.060208,1.672326,-37.5,-31.09,96
BENM,05/06/2001,-27.638646,2.013838,-31.8,-23.19,96
BENM,05/07/2001,-23.177708,1.935049,-29.73,-20.6,96
BENM,05/08/2001,-27.462396,2.12256,-30.23,-20,96
BENM,05/09/2001,-28.628646,3.087903,-33.16,-22.58,96
BENM,05/10/2001,-18.107188,3.72616,-22.67,-8.72,96
BENM,05/11/2001,-18.672917,1.457996,-22,-15.73,96
BENM,05/12/2001,-13.950104,2.15162,-18.55,-10.8,96
BENM,05/13/2001,-18.240729,3.632684,-24.69,-12.45,96
BENM,05/14/2001,-23.661667,6.001751,-30.3,-14.23,96
BENM,05/15/2001,-30.388958,1.218978,-32.8,-27.81,96
BENM,05/16/2001,-20.248229,4.951969,-31.97,-14.37,96
BENM,05/17/2001,-23.273438,1.865017,-27.91,-19.96,96
BENM,05/18/2001,-30.992604,2.31869,-34.15,-26.27,96
BENM,05/19/2001,-29.916354,3.01361,-34.86,-25.27,96
BENM,05/20/2001,-32.245208,.785304,-33.49,-30.03,96
BENM,05/21/2001,-32.673438,1.012937,-34.54,-29.79,96
BENM,05/22/2001,-29.380833,3.638436,-34.06,-17.72,96
BENM,05/23/2001,-19.892813,2.835078,-25.6,-15.16,96
BENM,05/24/2001,-18.238542,3.593042,-25.75,-11.25,96
BENM,05/25/2001,-27.538438,2.311588,-31.5,-21.16,96
BENM,05/26/2001,-25.809063,2.932136,-31.22,-20.67,96
BENM,05/27/2001,-33.361354,1.523537,-36.08,-30.14,96
BENM,05/28/2001,-37.22625,1.511332,-40.1,-34.45,96
BENM,05/29/2001,-35.968333,3.032212,-39.52,-29.95,96
BENM,05/30/2001,-27.079792,1.913421,-30.1,-24.52,96
BENM,05/31/2001,-26.30125,1.763592,-30.71,-24.87,96
BENM,06/01/2001,-30.83875,2.943627,-34.99,-24.59,96
BENM,06/02/2001,-31.003438,2.774917,-35.85,-25.81,96
BENM,06/03/2001,-24.376354,2.36121,-29.94,-19.58,96
BENM,06/04/2001,-32.562917,2.723134,-36.76,-26.39,96
BENM,06/05/2001,-31.300833,3.894384,-36.45,-22.98,96
BENM,06/06/2001,-21.901979,2.974281,-27.73,-16.69,96
BENM,06/07/2001,-15.381979,.720223,-16.95,-14.32,96
BENM,06/08/2001,-16.10375,.923312,-17.78,-14.28,96
BENM,06/09/2001,-22.634063,2.006127,-26.41,-17.24,96
BENM,06/10/2001,-27.282708,1.213784,-29.91,-24.9,96
BENM,06/11/2001,-22.363229,3.772159,-28.11,-18.4,96
BENM,06/12/2001,-23.500417,2.820019,-27.77,-18.14,96
BENM,06/13/2001,-28.0075,1.641706,-31.22,-24.63,96
BENM,06/14/2001,-23.180521,4.462051,-32.16,-19.26,96
BENM,06/15/2001,-24.153958,3.474901,-28.61,-18.93,96
BENM,06/16/2001,-30.657292,1.778964,-33.46,-25.72,96
BENM,06/17/2001,-20.94375,1.995978,-27.33,-18.05,96
BENM,06/18/2001,-21.784792,4.705626,-30.23,-16.21,96
BENM,06/19/2001,-25.366146,2.689007,-29.27,-19.29,96
BENM,06/20/2001,-29.085417,2.205114,-33.07,-24.89,96
BENM,06/21/2001,-32.655104,1.159809,-35.11,-29.77,96
BENM,06/22/2001,-35.929271,1.52116,-38.94,-31.65,96
BENM,06/23/2001,-38.078229,1.478283,-40.53,-34.1,96
BENM,06/24/2001,-28.876146,2.28869,-34.37,-24.68,96
BENM,06/25/2001,-27.410938,1.282473,-29.73,-24.63,96
BENM,06/26/2001,-27.420625,1.334142,-30.34,-24.65,96
BENM,06/27/2001,-28.003438,1.420232,-30.86,-24.66,96
BENM,06/28/2001,-25.909583,2.094029,-32.07,-22.41,96
BENM,06/29/2001,-34.042188,1.45014,-36.17,-29.57,96
BENM,06/30/2001,-30.550521,2.985693,-34.01,-23.13,96
BENM,07/01/2001,-34.330938,1.609538,-36.98,-30.19,96
BENM,07/02/2001,-31.484792,3.886128,-37.22,-21.2,96
