
# McMurdo Dry Valleys LTER - www.mcmlter.org
# 
#########################################################################################
# MCM LTER data may be used freely with the following restrictions:
# -The Principal Investigator be sent a notice stating reasons for 
# 	acquiring any data and a description of the publication intentions.
# -The Principal Investigator of the data set be sent a copy of any
# 	report or manuscript prior to submission and be adequately cited
# 	in any resultant publications.
# -A copy of any resultant publications should be sent to the MCM LTER data
# 	manager and PI.
# -The end-user follow the guidelines set forth in the LTER Network Data Access Policy, 
#	Data Access Requirements, and General Data Use Agreement found at:
# 	http://www.mcmlter.org/data_guidelines.htm
#########################################################################################
# 
# DESCRIPTION OF COLUMN HEADERS:
# 
# All meteorological stations contain the following column headers:
# METLOCID		Met Station ID - see www.mcmlter.org/data/meteorology/locations/metlocs.html for more info
# DATE_TIME		Date and 24 Hour Time
# 
# The remaining columns depend on the parameters measured at the station and will have a statistic,
# 	followed by and underscore, followed by the parameter:
# 
# Statistics:
# MEAN		Daily/Monthly Mean
# STDDEV	Daily/Monthly Standard Deviation
# MIN		Minimum Daily/Monthly Value
# MAX		Maximum Daily/Monthly Value
# N		Number of Observations (N_COMMENTS = the number of comments. If > 0 refer to original 15-minute data)
# 
# Query Executed: 2015-11-11 20:25:52.0
# 
# METADATA URLs (copy and paste these links into your web browser):
# 
# Bonney Snowfence Station General Metadata: 
# http://mcm.lternet.edu/content/lake-bonney-snowfence-meteorological-station-measurements
# 

METLOCID,DATE_TIME,AVG_PAR_AIR_PLUS1_5M,STDDEV_PAR_AIR_PLUS1_5M,MIN_PAR_AIR_PLUS1_5M,MAX_PAR_AIR_PLUS1_5M,N_PAR_AIR_PLUS1_5M
BOYS,12/12/1993,,,,,0
BOYS,12/12/1994,,,,,0
BOYS,12/12/1995,,,,,0
BOYS,12/12/1996,,,,,0
BOYS,12/12/1997,,,,,0
BOYS,12/12/1998,,,,,0
BOYS,12/12/1999,,,,,0
BOYS,01/19/2001,629.7,291.511347,98.7,1204.1,34
BOYS,01/20/2001,314.014035,306.7571,73.2,1010.3,57
BOYS,01/21/2001,506.564583,412.357267,88.4,1297.6,96
BOYS,01/22/2001,627.79375,433.082695,73.3,1232.6,96
BOYS,01/23/2001,630.651042,440.019068,70.2,1225.8,96
BOYS,01/24/2001,535.582292,399.571628,66.3,1283.9,96
BOYS,01/25/2001,587.886316,423.297858,64.9,1197.3,95
BOYS,01/26/2001,587.332292,421.515234,64.2,1185.9,96
BOYS,01/27/2001,578.388542,418.386292,62.6,1175.6,96
BOYS,01/28/2001,576.207292,418.198094,60.5,1168.7,96
BOYS,01/29/2001,566.19375,415.393913,59,1157.3,96
BOYS,01/30/2001,551.502083,409.044387,57.4,1143.7,96
BOYS,01/31/2001,542.246875,407.667294,55.2,1131.1,96
BOYS,02/01/2001,438.4875,373.289834,54.8,1182.4,96
BOYS,02/02/2001,341.614583,276.249872,68.7,1132.3,96
BOYS,02/03/2001,452.977083,337.757535,57.1,1179,96
BOYS,02/04/2001,466.941667,368.91936,54.2,1207.5,96
BOYS,02/05/2001,500.066667,385.617913,47.2,1073,96
BOYS,02/06/2001,463.473958,379.805345,43.7,1058.1,96
BOYS,02/07/2001,472.459375,380.069245,38.5,1027.4,96
BOYS,02/08/2001,429.983333,358.405327,38.7,1019.4,96
BOYS,02/09/2001,310.584375,218.210908,40.8,753.8,96
BOYS,02/10/2001,417.244792,351.398927,31.7,1030.8,96
BOYS,02/11/2001,381.108333,316.7453,30.7,1108.3,96
BOYS,02/12/2001,407.286458,357.09427,36.9,1036.5,96
BOYS,02/13/2001,337.529167,271.385314,20.3,952.1,96
BOYS,02/14/2001,401.595833,345.137396,22.7,948.7,96
BOYS,02/15/2001,394.651042,343.403313,18.1,913.3,96
BOYS,02/16/2001,373.030208,334.32277,15.8,1047.9,96
BOYS,02/17/2001,263.632292,223.325226,11.1,728.4,96
BOYS,02/18/2001,296.98125,246.181622,12.1,829,96
BOYS,02/19/2001,329.503125,289.634107,10.1,865.4,96
BOYS,02/20/2001,243.261458,223.090217,8.3,848.3,96
BOYS,02/21/2001,295.685417,286.702802,6.8,907.6,96
BOYS,02/22/2001,292.757292,290.019404,5.3,859.7,96
BOYS,02/23/2001,302.971875,306.775067,3.8,795.9,96
BOYS,02/24/2001,255.948958,245.845746,2.3,766.2,96
BOYS,02/25/2001,303.976042,289.995027,2.3,770,96
BOYS,02/26/2001,286.878125,284.51367,.8,769.4,96
BOYS,02/27/2001,262.31875,268.568507,.8,730.9,96
BOYS,02/28/2001,249.41875,262.408807,.8,719.9,96
BOYS,03/01/2001,213.905208,214.448596,.2,710,96
BOYS,03/02/2001,210.891667,243.989082,0,685.5,96
BOYS,03/03/2001,184.632292,229.875858,0,665,96
BOYS,03/04/2001,179.44375,222.183053,0,650.4,96
BOYS,03/05/2001,167.610417,211.912286,0,632.4,96
BOYS,03/06/2001,149.119792,197.167086,0,610.6,96
BOYS,03/07/2001,132.039583,178.796738,0,593.5,96
BOYS,03/08/2001,121.670833,163.708096,0,579.2,96
BOYS,03/09/2001,111.886458,160.989642,0,563.3,96
BOYS,03/10/2001,106.880208,154.601986,0,540.2,96
BOYS,03/11/2001,99.209375,143.663077,0,515.3,96
BOYS,03/12/2001,100.417708,112.997143,0,311.5,96
