
# McMurdo Dry Valleys LTER - www.mcmlter.org
# 
#########################################################################################
# MCM LTER data may be used freely with the following restrictions:
# -The Principal Investigator be sent a notice stating reasons for 
# 	acquiring any data and a description of the publication intentions.
# -The Principal Investigator of the data set be sent a copy of any
# 	report or manuscript prior to submission and be adequately cited
# 	in any resultant publications.
# -A copy of any resultant publications should be sent to the MCM LTER data
# 	manager and PI.
# -The end-user follow the guidelines set forth in the LTER Network Data Access Policy, 
#	Data Access Requirements, and General Data Use Agreement found at:
# 	http://www.mcmlter.org/data_guidelines.htm
#########################################################################################
# 
# DESCRIPTION OF COLUMN HEADERS:
# 
# All meteorological stations contain the following column headers:
# METLOCID		Met Station ID - see www.mcmlter.org/data/meteorology/locations/metlocs.html for more info
# DATE_TIME		Date and 24 Hour Time
# 
# The remaining columns depend on the parameters measured at the station and will have a statistic,
# 	followed by and underscore, followed by the parameter:
# 
# Statistics:
# MEAN		Daily/Monthly Mean
# STDDEV	Daily/Monthly Standard Deviation
# MIN		Minimum Daily/Monthly Value
# MAX		Maximum Daily/Monthly Value
# N		Number of Observations (N_COMMENTS = the number of comments. If > 0 refer to original 15-minute data)
# 
# Query Executed: 2016-03-08 19:17:03.0
# 
# METADATA URLs (copy and paste these links into your web browser):
# 
# Garwood Ice Cliff Station General Metadata: 
# http://mcm.lternet.edu/content/garwood-ice-cliff-meteorological-station-measurements-2012
# 

METLOCID,DATE_TIME,AVG_AIRT3M,STDDEV_AIRT3M,MIN_AIRT3M,MAX_AIRT3M,N_AIRT3M,N_COMMENTS
GAFM,12/12/1993,,,,,0,1
GAFM,12/12/1994,,,,,0,1
GAFM,12/12/1995,,,,,0,1
GAFM,12/12/1996,,,,,0,1
GAFM,12/12/1997,,,,,0,1
GAFM,12/12/1998,,,,,0,1
GAFM,12/12/1999,,,,,0,1
GAFM,12/12/2000,,,,,0,1
GAFM,12/12/2001,,,,,0,1
GAFM,12/12/2002,,,,,0,1
GAFM,12/12/2003,,,,,0,1
GAFM,12/12/2004,,,,,0,1
GAFM,12/12/2005,,,,,0,1
GAFM,12/12/2006,,,,,0,1
GAFM,12/12/2007,,,,,0,1
GAFM,12/12/2008,,,,,0,1
GAFM,12/12/2009,,,,,0,1
GAFM,12/12/2010,,,,,0,1
GAFM,01/10/2012,.189756,.556841,-.56,1.7,41,0
GAFM,01/11/2012,-.206771,.789847,-1.48,2.16,96,0
GAFM,01/12/2012,-.918125,1.451878,-3.31,1.26,96,0
GAFM,01/13/2012,-2.346146,1.510847,-5.52,-.1,96,0
GAFM,01/14/2012,-.79875,1.627081,-3.03,3.37,96,0
GAFM,01/15/2012,-.3575,1.976713,-4.16,2.26,96,0
GAFM,01/16/2012,-1.585313,1.815755,-5.21,2.41,96,0
GAFM,01/17/2012,-3.544167,1.535148,-5.65,-.6,96,0
GAFM,01/18/2012,-1.879271,1.232437,-4.11,-.08,96,0
GAFM,01/19/2012,-4.958646,.973851,-6.94,-2.83,96,0
GAFM,01/20/2012,-4.512813,1.662287,-6.52,-.64,96,0
GAFM,01/21/2012,-2.552708,1.478639,-5.79,-.21,96,0
GAFM,01/22/2012,-3.035104,.569188,-3.89,-1.84,96,0
GAFM,01/23/2012,-2.147188,1.724004,-5.7,.32,96,0
GAFM,01/24/2012,-3.035,.795957,-5.02,-1.44,96,0
GAFM,01/25/2012,-4.493333,.930214,-7.57,-2.93,96,0
GAFM,01/26/2012,-5.7475,2.082046,-9.36,-3.2,96,0
GAFM,01/27/2012,-1.747396,.92854,-3.46,-.27,96,0
GAFM,01/28/2012,-1.724583,.751247,-3.26,-.69,96,0
