
# McMurdo Dry Valleys LTER - www.mcmlter.org
# 
#########################################################################################
# MCM LTER data may be used freely with the following restrictions:
# -The Principal Investigator be sent a notice stating reasons for 
# 	acquiring any data and a description of the publication intentions.
# -The Principal Investigator of the data set be sent a copy of any
# 	report or manuscript prior to submission and be adequately cited
# 	in any resultant publications.
# -A copy of any resultant publications should be sent to the MCM LTER data
# 	manager and PI.
# -The end-user follow the guidelines set forth in the LTER Network Data Access Policy, 
#	Data Access Requirements, and General Data Use Agreement found at:
# 	http://www.mcmlter.org/data_guidelines.htm
#########################################################################################
# 
# DESCRIPTION OF COLUMN HEADERS:
# 
# All meteorological stations contain the following column headers:
# METLOCID		Met Station ID - see www.mcmlter.org/data/meteorology/locations/metlocs.html for more info
# DATE_TIME		Date and 24 Hour Time
# 
# The remaining columns depend on the parameters measured at the station and will have a statistic,
# 	followed by and underscore, followed by the parameter:
# 
# Statistics:
# MEAN		Daily/Monthly Mean
# STDDEV	Daily/Monthly Standard Deviation
# MIN		Minimum Daily/Monthly Value
# MAX		Maximum Daily/Monthly Value
# N		Number of Observations (N_COMMENTS = the number of comments. If > 0 refer to original 15-minute data)
# 
# Query Executed: 2016-02-19 08:18:49.0
# 
# METADATA URLs (copy and paste these links into your web browser):
# 
# Upper Howard Glacier Station General Metadata: 
# http://mcm.lternet.edu/content/upper-howard-meteorological-station-measurements
# 

METLOCID,DATE_TIME,AVG_AIRT3M,STDDEV_AIRT3M,MIN_AIRT3M,MAX_AIRT3M,N_AIRT3M
UHDM,12/12/1993,,,,,0
UHDM,12/12/1994,,,,,0
UHDM,12/12/1995,,,,,0
UHDM,12/12/1996,,,,,0
UHDM,12/12/1997,,,,,0
UHDM,12/12/1998,,,,,0
UHDM,12/12/1999,,,,,0
UHDM,12/12/2000,,,,,0
UHDM,11/14/2001,-16.14093,.534232,-17.51,-15.28,43
UHDM,11/15/2001,-15.709792,.649215,-16.92,-14.21,96
UHDM,11/16/2001,-15.118542,.974935,-16.5,-11.83,96
UHDM,11/17/2001,-16.672917,.524587,-17.92,-15.17,96
UHDM,11/18/2001,-17.196563,.624456,-18.34,-14.82,96
UHDM,11/19/2001,-16.482292,1.41872,-18.76,-12.62,96
UHDM,11/20/2001,-13.480729,.992069,-15.9,-11.92,96
UHDM,11/21/2001,-12.418125,1.168422,-13.98,-9.82,96
UHDM,11/22/2001,-13.412813,.960784,-14.91,-10.98,96
UHDM,11/23/2001,-10.093646,2.025675,-14.01,-5.43,96
UHDM,11/24/2001,-9.036354,.828902,-10.87,-7.3,96
UHDM,11/25/2001,-9.211667,1.061326,-10.99,-7.34,96
UHDM,11/26/2001,-9.205313,1.039801,-10.75,-5.35,96
UHDM,11/27/2001,-8.213333,.911754,-10.44,-6.17,96
UHDM,11/28/2001,-10.129063,1.187954,-12.66,-6.92,96
UHDM,11/29/2001,-10.627188,.779977,-12.27,-9.02,96
UHDM,11/30/2001,-10.575521,.662928,-11.94,-8.7,96
UHDM,12/01/2001,-10.168229,.87919,-11.56,-8.02,96
UHDM,12/02/2001,-11.129583,1.109829,-12.7,-7.05,96
UHDM,12/03/2001,-11.054271,1.462362,-12.95,-6.36,96
UHDM,12/04/2001,-8.390833,1.005797,-10.74,-5.53,96
UHDM,12/05/2001,-8.615313,1.214832,-11.36,-6.94,96
UHDM,12/06/2001,-9.760521,.934677,-11.6,-7.62,96
UHDM,12/07/2001,-7.636667,.867727,-10.02,-5.35,96
UHDM,12/08/2001,-8.442083,1.074515,-10.72,-6.61,96
UHDM,12/09/2001,-6.404479,1.295241,-9.31,-4.14,96
UHDM,12/10/2001,-8.455833,.961478,-10.51,-6.31,96
UHDM,12/11/2001,-8.574271,1.128966,-10.6,-5.94,96
UHDM,12/12/2001,-11.085521,.754257,-12.71,-9.06,96
UHDM,12/13/2001,-10.731563,1.466675,-12.78,-6.22,96
UHDM,12/14/2001,-7.0575,1.207822,-8.79,-3.86,96
UHDM,12/15/2001,-4.673542,.789078,-6.24,-2.65,96
UHDM,12/16/2001,-6.780521,.841311,-8.57,-5.31,96
UHDM,12/17/2001,-7.021042,1.094014,-9.21,-4.96,96
UHDM,12/18/2001,-6.288958,.74011,-7.85,-4.5,96
UHDM,12/19/2001,-5.662396,1.348377,-8.35,-.39,96
UHDM,12/20/2001,-5.467188,.667712,-6.56,-4,96
UHDM,12/21/2001,-3.257604,1.334367,-6.79,-1.04,96
UHDM,12/22/2001,-3.674271,1.708672,-6.14,-.08,96
UHDM,12/23/2001,-5.160833,.734838,-7.29,-3.36,96
UHDM,12/24/2001,-5.129271,.969821,-7.03,-2.73,96
UHDM,12/25/2001,-5.321979,.824718,-6.29,-2,96
UHDM,12/26/2001,-2.154688,1.240084,-4.35,.35,96
UHDM,12/27/2001,-1.174792,.884699,-3.13,.87,96
UHDM,12/28/2001,-2.387813,.584041,-3.79,-.5,96
UHDM,12/29/2001,-.539479,1.375696,-2.47,3.35,96
UHDM,12/30/2001,.568438,1.334724,-2.11,3.92,96
UHDM,12/31/2001,-2.926979,1.252444,-5.95,-.63,96
UHDM,01/01/2002,-3.470417,.803884,-5.87,-1.89,96
UHDM,01/02/2002,-4.114271,.797694,-6.21,-2.78,96
UHDM,01/03/2002,-3.516667,1.265293,-7.41,-1.45,96
UHDM,01/04/2002,-2.349063,1.653646,-7.53,.03,96
UHDM,01/05/2002,-2.728958,1.145238,-5.03,-.08,96
UHDM,01/06/2002,-4.403854,.685924,-6.09,-2.85,96
UHDM,01/07/2002,-5.516563,1.670245,-9.53,-1.75,96
UHDM,01/08/2002,-8.517917,.978579,-10.03,-6.14,96
UHDM,01/09/2002,-6.875208,1.754988,-9.46,-2.1,96
UHDM,01/10/2002,-4.092708,1.351933,-7.14,-2.33,96
UHDM,01/11/2002,-.276458,1.482033,-2.82,3.12,96
UHDM,01/12/2002,-.063333,1.755264,-4,3.87,96
UHDM,01/13/2002,-3.585833,1.115497,-5.38,-1.12,96
UHDM,01/14/2002,-2.195833,.794634,-3.96,.13,96
UHDM,01/15/2002,-2.770938,1.796677,-6.48,1.52,96
UHDM,01/16/2002,-3.299219,.911234,-5.6,-1.49,64
UHDM,01/17/2002,-3.296667,1.605776,-7.09,-.88,96
UHDM,01/18/2002,-5.219792,.920965,-7.16,-2.63,96
UHDM,01/19/2002,-5.215,.602851,-6.87,-4.05,96
UHDM,01/20/2002,-4.908333,1.200257,-7.66,-2.63,96
UHDM,01/21/2002,-8.740833,2.293573,-11.44,-3.25,96
UHDM,01/22/2002,-8.319792,2.084654,-11.66,-2.79,96
UHDM,01/23/2002,-7.50625,1.132743,-9.51,-4.3,96
UHDM,01/24/2002,-8.773646,.85664,-10.11,-6.37,96
UHDM,01/25/2002,-9.829896,.405368,-10.52,-9.01,96
UHDM,01/26/2002,-9.248438,1.26497,-11.12,-5.47,96
UHDM,01/27/2002,-9.542708,1.512393,-11.3,-4,96
UHDM,01/28/2002,-10.549167,.542095,-11.66,-8.85,96
UHDM,01/29/2002,-8.257708,1.585166,-10.78,-3.84,96
