metlocid,date_time,avg_airt3m,std_airt3m,min_airt3m,max_airt3m,n_airt3m,avg_airt1m,std_airt1m,min_airt1m,max_airt1m,n_airt1m,n_comments
BOYM,11/24/93,-5.502931052,0.38815808,-6.08,-4.96,58,,,,,0,0
BOYM,11/25/93,-4.138750003,1.791322464,-7.69,-0.32,144,,,,,0,0
BOYM,11/26/93,-3.808402811,1.854274492,-6.82,1.76,144,,,,,0,0
BOYM,11/27/93,-5.303124991,0.462923934,-6.3,-4.58,144,,,,,0,0
BOYM,11/28/93,-5.48527778,1.074441126,-6.92,-3.23,144,,,,,0,0
BOYM,11/29/93,-4.784999977,1.47048632,-7.14,-0.43,144,,,,,0,0
BOYM,11/30/93,-4.017916663,1.249457987,-6.19,-2.46,144,,,,,0,0
BOYM,12/1/93,-3.286319459,0.891006944,-4.92,0.09,144,,,,,0,0
BOYM,12/2/93,-3.576805556,1.387211645,-5.93,-0.11,144,,,,,0,0
BOYM,12/3/93,-5.709722226,1.227019764,-7.45,-3.64,144,,,,,0,0
BOYM,12/4/93,-7.242777768,0.598604962,-8.54,-6.07,144,,,,,0,0
BOYM,12/5/93,-6.890277796,1.314307472,-9.4,-5.19,144,,,,,0,0
BOYM,12/6/93,-5.555902792,1.155002767,-8.08,-4.36,144,,,,,0,0
BOYM,12/7/93,-5.416319435,1.229899504,-7.91,-3.43,144,,,,,0,0
BOYM,12/8/93,-5.727569424,0.570227831,-6.55,-4.51,144,,,,,0,0
BOYM,12/9/93,-4.403472222,1.684554403,-7.39,-1.17,144,,,,,0,0
BOYM,12/10/93,-3.904513907,1.466163285,-6.42,-2.07,144,,,,,0,0
BOYM,12/11/93,-3.109166661,1.39776718,-5.73,-1.01,144,,,,,0,0
BOYM,12/12/93,-4.045694446,1.812001816,-7.37,-1.01,144,,,,,0,0
BOYM,12/13/93,-5.580069462,1.025964668,-7.41,-4.44,144,,,,,0,0
BOYM,12/14/93,-2.668263898,1.968339024,-6.47,2.53,144,,,,,0,0
BOYM,12/15/93,-1.292222211,1.882766673,-4.93,1.99,144,,,,,0,0
BOYM,12/16/93,-0.397291667,1.701094759,-3.67,1.78,144,,,,,0,0
BOYM,12/17/93,2.010069444,1.143455384,-0.15,4.3,144,,,,,0,0
