metlocid,date_time,avg_airt3m,std_airt3m,min_airt3m,max_airt3m,n_airt3m,n_comments
BRHM,1/9/95,-0.51666665,0.914721328,-2.12,0.47,12,0
BRHM,1/10/95,-1.165416674,0.744907226,-2.66,0.31,24,0
BRHM,1/11/95,-2.459999991,1.311998135,-4.67,-0.18,24,0
BRHM,1/12/95,-5.000833352,0.825711392,-6.69,-3.56,24,0
BRHM,1/13/95,-6.01000001,0.690815554,-7.38,-5.03,24,0
BRHM,1/14/95,-6.260833343,1.232145282,-8.41,-4.09,24,0
BRHM,1/15/95,-4.920000017,0.967556317,-6.34,-3.25,24,0
BRHM,1/16/95,-5.130416652,1.253029305,-6.95,-2.6,24,0
BRHM,1/17/95,-4.53125001,0.713852451,-5.89,-3.54,24,0
BRHM,1/18/95,-5.790416678,0.830984109,-7.8,-4.73,24,0
BRHM,1/19/95,-5.240833273,1.471003492,-7.47,-3.12,24,0
BRHM,1/20/95,-5.860416631,1.770432212,-8.74,-3.85,24,0
BRHM,1/21/95,-4.858333309,1.349610814,-7.63,-3.27,24,0
BRHM,1/22/95,-3.965833326,1.522512026,-7.11,-2.11,24,0
BRHM,1/23/95,-4.960833361,0.982100367,-6.78,-3.53,24,0
BRHM,1/24/95,-6.417083383,0.952819485,-7.86,-5,24,0
BRHM,1/25/95,-5.481666664,2.085035042,-9.04,-3.26,24,0
BRHM,1/26/95,-6.278333366,0.665345109,-7.2,-4.66,24,0
BRHM,1/27/95,-4.120416646,1.483677767,-6.41,-1.63,24,0
BRHM,1/28/95,-5.567916691,0.903817939,-7.75,-4.2,24,0
BRHM,1/29/95,-7.254583279,1.689409373,-10.48,-4.5,24,0
BRHM,1/30/95,-5.823750009,1.988236728,-9.47,-3.99,24,0
BRHM,1/31/95,-6.597500006,1.469212299,-9.69,-5.12,24,0
BRHM,2/1/95,-2.330000007,2.541225308,-5.99,1.09,24,0
BRHM,2/2/95,1.155000006,2.312769842,-2.04,4.08,24,0
BRHM,2/3/95,-1.482499993,1.955547848,-4.96,2.65,24,0
BRHM,2/4/95,-6.161666671,0.974660059,-8.62,-4.57,24,0
BRHM,2/5/95,-9.817916731,2.262851204,-13.51,-7.39,24,0
BRHM,2/6/95,-5.78125,3.906731444,-14.24,-1.39,24,0
BRHM,2/7/95,-6.325833321,1.232254602,-8.77,-3.96,24,0
BRHM,2/8/95,-6.265833358,1.318704582,-9.28,-4.39,24,0
BRHM,2/9/95,-6.227916658,0.860636676,-7.48,-4.32,24,0
BRHM,2/10/95,-8.674999992,1.053268208,-11.25,-7.5,24,0
BRHM,2/11/95,-8.98875006,0.792186367,-10.07,-7.17,24,0
BRHM,2/12/95,-10.50124999,1.492678658,-12.92,-7.89,24,0
BRHM,2/13/95,-7.426666717,1.424779737,-9.89,-4.72,24,0
BRHM,2/14/95,-11.06833327,1.133300939,-13.07,-9.65,24,0
BRHM,2/15/95,-11.39375005,1.535503915,-13.91,-7.64,24,0
BRHM,2/16/95,-13.5225,1.701994358,-16.65,-11.53,24,0
BRHM,2/17/95,-13.4245834,0.59799658,-14.71,-12.2,24,0
BRHM,2/18/95,-12.93041666,1.824837053,-16.14,-10.87,24,0
BRHM,2/19/95,-12.55166658,3.04550071,-17.57,-9.36,24,0
BRHM,2/20/95,-9.441249977,2.970756445,-12.91,-1.97,24,0
BRHM,2/21/95,-3.47791666,1.54986951,-5.28,0.66,24,0
BRHM,2/22/95,-3.865416676,0.881530205,-5.22,-1.73,24,0
BRHM,2/23/95,-4.973333309,0.867067333,-6.52,-2.66,24,0
BRHM,2/24/95,-9.014166594,1.007312014,-10.53,-7.17,24,0
BRHM,2/25/95,-10.97999998,0.71836786,-12.43,-10.09,24,0
BRHM,2/26/95,-11.26916659,0.789247897,-12.94,-9.86,24,0
BRHM,2/27/95,-12.33750006,0.656699573,-13.39,-10.9,24,0
BRHM,2/28/95,-13.8925,0.755675623,-16,-12.58,24,0
BRHM,3/1/95,-14.31333335,0.589382009,-15.56,-13.4,24,0
BRHM,3/2/95,-16.17458351,1.208776011,-19.7,-13.87,24,0
BRHM,3/3/95,-16.36458337,2.404774077,-21.33,-13.24,24,0
BRHM,3/4/95,-15.68874995,1.428514857,-18.05,-13.27,24,0
BRHM,3/5/95,-16.3791666,1.670578913,-18.15,-12.28,24,0
BRHM,3/6/95,-12.62624995,1.028455152,-14.14,-10.27,24,0
BRHM,3/7/95,-9.034166634,1.830585334,-12.83,-6.37,24,0
BRHM,3/8/95,-13.32833338,0.997103064,-14.52,-10.8,24,0
BRHM,3/9/95,-16.22333328,0.923201712,-18.46,-14.75,24,0
BRHM,3/10/95,-21.22708321,2.345154902,-26.49,-18.33,24,0
BRHM,3/11/95,-20.40041677,4.572599395,-26.78,-11.52,24,0
BRHM,3/12/95,-22.49541664,1.386346421,-24.53,-19.57,24,0
BRHM,3/13/95,-26.35625005,1.918810211,-28.82,-22.33,24,0
BRHM,3/14/95,-28.33500012,2.381535944,-31.83,-24.12,24,0
BRHM,3/15/95,-28.35583321,3.341659201,-32.57,-23.17,24,0
BRHM,3/16/95,-20.72541674,2.53280564,-25.11,-16.69,24,0
BRHM,3/17/95,-21.47708337,6.675821784,-29.49,-13.11,24,0
BRHM,3/18/95,-18.57000001,3.350685781,-23.23,-12.62,24,0
BRHM,3/19/95,-24.4533333,1.758865004,-27.36,-20.05,24,0
BRHM,3/20/95,-25.43083342,1.840035253,-28.88,-21.81,24,0
BRHM,3/21/95,-27.96499976,1.205595662,-29.97,-25.66,24,0
BRHM,3/22/95,-30.75458328,1.357695871,-33.44,-28.73,24,0
BRHM,3/23/95,-32.54916652,1.200981249,-35.09,-30.75,24,0
BRHM,3/24/95,-31.45124976,1.417355989,-34.89,-28.82,24,0
BRHM,3/25/95,-30.64958342,2.527959246,-33.53,-24.75,24,0
BRHM,3/26/95,-30.2233332,3.835854374,-34.89,-25.25,24,0
BRHM,3/27/95,-29.05249993,1.335532004,-31.65,-26.75,24,0
BRHM,3/28/95,-27.99958348,1.419171503,-30.01,-24.26,24,0
BRHM,3/29/95,-25.35333316,2.730879307,-30.39,-22.72,24,0
BRHM,3/30/95,-26.91541648,0.958590223,-29.09,-25.2,24,0
BRHM,3/31/95,-29.14833307,2.16991998,-33.14,-25.51,24,0
BRHM,4/1/95,-31.92500011,1.087198093,-34.69,-30.45,24,0
BRHM,4/2/95,-25.81791647,5.454633413,-35.91,-19.46,24,0
BRHM,4/3/95,-31.64916674,1.676546476,-34.86,-28.04,24,0
BRHM,4/4/95,-34.94291671,1.64727035,-37.3,-31.44,24,0
BRHM,4/5/95,-36.70458349,1.675439218,-38.43,-31.48,24,0
BRHM,4/6/95,-37.14208333,1.861437012,-39.9,-34.3,24,0
BRHM,4/7/95,-32.2520837,8.114592704,-40.59,-22.23,24,0
BRHM,4/8/95,-33.62833309,3.706861536,-38.31,-25.61,24,0
BRHM,4/9/95,-27.37874985,8.612237722,-39.17,-18.27,24,0
BRHM,4/10/95,-19.1987501,2.724483538,-22.75,-14.58,24,0
BRHM,4/11/95,-25.91083328,2.510501261,-29.07,-21.58,24,0
BRHM,4/12/95,-23.35125013,3.006179579,-26.83,-13.54,24,0
BRHM,4/13/95,-22.91583335,3.079217808,-27.93,-14.61,24,0
BRHM,4/14/95,-13.54499996,2.971928079,-19.86,-9.74,24,0
BRHM,4/15/95,-22.35041666,1.246921463,-25.01,-20.25,24,0
BRHM,4/16/95,-24.76541654,2.320322184,-30.31,-22.29,24,0
BRHM,4/17/95,-30.32166632,1.481431983,-32.35,-27.34,24,0
BRHM,4/18/95,-28.71249994,3.040060285,-33.3,-24.26,24,0
BRHM,4/19/95,-36.76958323,3.168811891,-40.46,-30.61,24,0
BRHM,4/20/95,-26.72291668,6.17921451,-40.32,-19.86,24,0
BRHM,4/21/95,-24.92708333,5.056899976,-29.97,-17.23,24,0
BRHM,4/22/95,-30.43125002,2.976010328,-35.14,-27.08,24,0
BRHM,4/23/95,-37.86583328,1.69384766,-40.76,-35.39,24,0
BRHM,4/24/95,-37.54625003,1.356932597,-39.51,-34.56,24,0
BRHM,4/25/95,-40.74875021,2.437392344,-43.99,-35.39,24,0
BRHM,4/26/95,-29.60916654,2.22440399,-34.37,-26.75,24,0
BRHM,4/27/95,-26.50541647,3.120972434,-32.73,-22.88,24,0
BRHM,4/28/95,-31.59875003,3.03542773,-34.13,-23.15,24,0
BRHM,4/29/95,-37.05541674,1.369690458,-39.45,-34.27,24,0
BRHM,4/30/95,-29.47166689,6.306730104,-37.84,-21.48,24,0
BRHM,5/1/95,-29.32833314,5.828538839,-37.05,-20.63,24,0
BRHM,5/2/95,-37.26750024,1.500165723,-39.58,-35.11,24,0
BRHM,5/3/95,-40.51916695,0.888520896,-42.13,-39.07,24,0
BRHM,5/4/95,-37.28416634,1.883876582,-40.22,-32.44,24,0
BRHM,5/5/95,-26.86250003,6.806143317,-35.99,-16.48,24,0
BRHM,5/6/95,-16.53958333,4.363401584,-22.82,-10.57,24,0
BRHM,5/7/95,-22.53208343,3.307339587,-30.06,-19.45,24,0
BRHM,5/8/95,-26.31124981,4.30748187,-33.28,-20.65,24,0
BRHM,5/9/95,-23.55541666,2.599611745,-26.22,-17.12,24,0
BRHM,5/10/95,-28.69499993,2.1946656,-31.23,-22.96,24,0
BRHM,5/11/95,-30.0966665,2.559233163,-34.39,-26.97,24,0
BRHM,5/12/95,-32.35416659,3.909413505,-35.26,-19.73,24,0
BRHM,5/13/95,-16.57666659,0.69543025,-18.26,-15.19,24,0
BRHM,5/14/95,-18.89458346,0.871470346,-20.04,-17.44,24,0
BRHM,5/15/95,-25.35500002,2.868746162,-27.43,-17.08,24,0
BRHM,5/16/95,-25.03708355,1.260426035,-28.86,-23.78,24,0
BRHM,5/17/95,-31.89166665,3.179596323,-37.7,-27.1,24,0
BRHM,5/18/95,-34.59041611,3.050272293,-38.83,-28.38,24,0
BRHM,5/19/95,-36.67624974,3.93238472,-40.62,-25.12,24,0
BRHM,5/20/95,-28.29791657,6.30176582,-36.72,-21.64,24,0
BRHM,5/21/95,-38.60750008,1.553129602,-41.7,-36.23,24,0
BRHM,5/22/95,-35.22666677,1.714097293,-38.4,-32.55,24,0
BRHM,5/23/95,-31.48291683,2.417365525,-35.99,-27.84,24,0
BRHM,5/24/95,-29.08124979,2.134589075,-32.8,-25.95,24,0
BRHM,5/25/95,-20.65500001,5.063852044,-26.16,-10.77,24,0
BRHM,5/26/95,-24.05499999,4.825309136,-31.76,-16.04,24,0
BRHM,5/27/95,-28.56500014,2.392631913,-33.58,-25.37,24,0
BRHM,5/28/95,-30.92291657,2.891286114,-36.91,-28.04,24,0
BRHM,5/29/95,-39.64791711,1.374298478,-41.63,-36.5,24,0
BRHM,5/30/95,-36.57916673,1.850595404,-39.35,-33.74,24,0
BRHM,5/31/95,-43.6045831,1.531080876,-45.57,-40.36,24,0
BRHM,6/1/95,-46.48416662,0.757472628,-47.56,-44.53,24,0
BRHM,6/2/95,-46.8191665,1.266425986,-48.02,-44.53,24,0
BRHM,6/3/95,-43.68708293,4.892183028,-48.12,-32.48,24,0
BRHM,6/4/95,-32.53625003,4.605487786,-38.98,-25.58,24,0
BRHM,6/5/95,-23.36916669,2.143576673,-28.04,-20.69,24,0
BRHM,6/6/95,-23.97708344,1.263354595,-27.08,-21.67,24,0
BRHM,6/7/95,-32.84833296,3.568470027,-37.67,-27.72,24,0
BRHM,6/8/95,-39.049167,0.740433969,-40.49,-37.81,24,0
BRHM,6/9/95,-38.34833296,3.653400571,-42.03,-31.65,24,0
BRHM,6/10/95,-14.83583331,2.828689822,-22.42,-10.61,24,0
BRHM,6/11/95,-19.25958335,5.827910618,-28.06,-13.27,24,0
BRHM,6/12/95,-30.90624984,3.261874396,-34.59,-23.08,24,0
BRHM,6/13/95,-20.52208336,1.067300567,-22.03,-18.41,24,0
BRHM,6/14/95,-21.99583316,5.00144587,-29.69,-16.09,24,0
BRHM,6/15/95,-22.97000003,3.426293469,-28.04,-17.31,24,0
BRHM,6/16/95,-15.53708315,0.79539143,-17.71,-14.49,24,0
BRHM,6/17/95,-26.47541666,2.336563843,-30.65,-19.55,24,0
BRHM,6/18/95,-32.52916646,1.775425787,-35.44,-29.87,24,0
BRHM,6/19/95,-34.97458299,2.482416376,-38.71,-31.53,24,0
BRHM,6/20/95,-31.37208358,3.600079906,-36.74,-27.24,24,0
BRHM,6/21/95,-36.49833322,3.281945099,-39.23,-30.31,24,0
BRHM,6/22/95,-25.43208297,5.761013974,-37.19,-21.09,24,0
BRHM,6/23/95,-28.1500001,5.043617498,-34.79,-21.6,24,0
BRHM,6/24/95,-32.99833322,2.801765951,-35.78,-26.4,24,0
BRHM,6/25/95,-22.4125001,4.719020125,-35.06,-15.86,24,0
BRHM,6/26/95,-18.54416656,3.102617166,-25.38,-16.08,24,0
BRHM,6/27/95,-27.48416654,4.866953941,-35.49,-21.18,24,0
BRHM,6/28/95,-28.46958327,7.056928467,-37.41,-19.91,24,0
BRHM,6/29/95,-19.44333341,8.31960113,-30.86,-6.84,24,0
BRHM,6/30/95,-10.12708334,3.721387657,-15.72,-4.81,24,0
BRHM,7/1/95,-15.49249995,5.826327316,-23.87,-9.24,24,0
BRHM,7/2/95,-25.60833327,3.125814943,-30.71,-20.93,24,0
BRHM,7/3/95,-23.89625001,3.195348322,-27.47,-19.23,24,0
BRHM,7/4/95,-16.19333331,1.618809798,-21.02,-14.79,24,0
BRHM,7/5/95,-24.18666665,2.636771185,-28.9,-19.91,24,0
BRHM,7/6/95,-30.14083322,4.665036347,-34.54,-19.49,24,0
BRHM,7/7/95,-26.35291688,4.561982303,-31.68,-13.75,24,0
BRHM,7/8/95,-31.61041633,1.462530192,-34.3,-27.59,24,0
BRHM,7/9/95,-27.70125,7.808319969,-35.7,-16.49,24,0
BRHM,7/10/95,-31.31791655,2.57455079,-34.37,-24.01,24,0
BRHM,7/11/95,-33.33041668,1.11609755,-35.62,-31.78,24,0
BRHM,7/12/95,-33.57916665,2.423324965,-37.93,-30.47,24,0
BRHM,7/13/95,-30.01124994,1.146978146,-31.72,-26.68,24,0
BRHM,7/14/95,-27.38708329,4.339806826,-35.39,-21.93,24,0
BRHM,7/15/95,-39.14458323,1.912892635,-41.99,-35.55,24,0
BRHM,7/16/95,-41.14208333,1.660701778,-42.85,-35.39,24,0
BRHM,7/17/95,-41.50833368,2.067627753,-43.75,-37.08,24,0
BRHM,7/18/95,-27.96250025,11.63749206,-42.51,-10.2,24,0
BRHM,7/19/95,-19.65916677,5.019321726,-25.91,-9.63,24,0
BRHM,7/20/95,-27.14083314,4.576328406,-32.37,-16.86,24,0
BRHM,7/21/95,-27.24000001,4.724047584,-33.84,-19.85,24,0
BRHM,7/22/95,-28.77541669,3.571842486,-34.32,-22.44,24,0
BRHM,7/23/95,-33.78125,1.858372908,-36.23,-29.71,24,0
BRHM,7/24/95,-31.57874974,2.903560115,-36.36,-26.78,24,0
BRHM,7/25/95,-36.03291686,2.090886094,-39.45,-32.13,24,0
BRHM,7/26/95,-34.23000002,6.337138289,-41.07,-25.38,24,0
BRHM,7/27/95,-36.46833348,1.705673181,-38.83,-31.38,24,0
BRHM,7/28/95,-30.72833323,4.835025722,-38.17,-24.73,24,0
BRHM,7/29/95,-28.60708348,4.691414339,-35.65,-21.87,24,0
BRHM,7/30/95,-32.47333312,1.642203219,-35.86,-28.54,24,0
BRHM,7/31/95,-27.51666633,1.923171293,-31.4,-25.7,24,0
