metlocid,date_time,avg_airt3m,stddev_airt3m,min_airt3m,max_airt3m,n_airt3m,avg_airt1m,stddev_airt1m,min_airt1m,max_airt1m,n_airt1m,n_comments
COHM,11/22/93,-5.8,0.356370592,-6.27,-5.31,5,,,,,0,0
COHM,11/23/93,-6.563750088,1.201617303,-8.18,-5.08,8,,,,,0,0
COHM,11/24/93,-8.754999936,0.548634619,-9.23,-7.56,8,,,,,0,0
COHM,11/25/93,-8.013749957,1.350977756,-10.4,-6.37,8,,,,,0,0
COHM,11/26/93,-7.142499983,0.676604006,-8.26,-6.08,8,,,,,0,0
COHM,11/27/93,-8.386250019,0.329152013,-8.95,-7.96,8,,,,,0,0
COHM,11/28/93,-8.285000086,0.912797942,-9.33,-7.07,8,,,,,0,0
COHM,11/29/93,-8.014999926,1.176216799,-9.72,-6.7,8,,,,,0,0
COHM,11/30/93,-7.262499988,1.076379509,-8.76,-6.2,8,,,,,0,0
COHM,12/1/93,-6.476250052,1.028882062,-7.73,-5.34,8,,,,,0,0
COHM,12/2/93,-7.108750105,1.138977484,-8.8,-5.28,8,,,,,0,0
COHM,12/3/93,-9.081666629,0.960215815,-10.31,-7.95,30,,,,,0,1
COHM,12/4/93,-10.89145837,0.315459737,-11.74,-10.09,48,,,,,0,0
COHM,12/5/93,-10.26104178,1.016510977,-11.85,-8.65,48,,,,,0,1
COHM,12/6/93,-8.676666647,1.125713615,-10.51,-6.59,48,,,,,0,0
COHM,12/7/93,-9.042083333,0.932612356,-10.91,-7.57,48,,,,,0,0
COHM,12/8/93,-8.843958398,0.608422256,-10.74,-7.71,48,,,,,0,0
COHM,12/9/93,-8.272916694,1.08313368,-11.1,-5.52,48,,,,,0,0
COHM,12/10/93,-7.605833342,1.396045858,-10.72,-5.49,48,,,,,0,0
COHM,12/11/93,-6.539791654,1.241677828,-8.74,-4.49,48,,,,,0,0
COHM,12/12/93,-8.10708341,1.371959257,-10.56,-5.95,48,,,,,0,1
COHM,12/13/93,-8.810833375,0.979947559,-10.2,-7.35,48,,,,,0,2
COHM,12/14/93,-6.791875025,1.282488746,-9.96,-4.81,48,,,,,0,0
COHM,12/15/93,-5.633958345,1.013713908,-7.04,-2.21,48,,,,,0,0
COHM,12/16/93,-1.621249995,1.419471917,-4.22,0.04,48,,,,,0,0
COHM,12/17/93,-0.970833329,0.833038104,-2.93,0.69,48,,,,,0,0
COHM,12/18/93,-2.907291671,0.481304692,-3.9,-1.53,48,,,,,0,0
COHM,12/19/93,-3.694166658,1.691192237,-7.1,-1.5,48,,,,,0,0
COHM,12/20/93,-5.913750013,1.524714986,-7.52,-2.19,48,,,,,0,0
COHM,12/21/93,-9.212708294,0.748487056,-10.61,-7.61,48,,,,,0,0
COHM,12/22/93,-6.971458266,2.625459581,-10.58,-1.13,48,,,,,0,0
COHM,12/23/93,-7.169999987,1.548675468,-10.03,-1.56,48,,,,,0,0
COHM,12/24/93,-4.738478269,1.610605093,-7.36,-1.73,46,,,,,0,0
COHM,12/25/93,-5.78624999,1.292504778,-8.94,-3.22,48,,,,,0,0
COHM,12/26/93,-4.948958332,1.313754155,-7.65,-2.01,48,,,,,0,0
COHM,12/27/93,-5.777083347,0.731323348,-6.92,-4.19,48,,,,,0,0
COHM,12/28/93,-7.07145833,0.742176167,-7.93,-5.34,48,,,,,0,0
COHM,12/29/93,-5.813750024,1.340428017,-8.37,-3.63,48,,,,,0,0
COHM,12/30/93,-3.011041661,1.42663453,-5.56,0.26,48,,,,,0,0
COHM,12/31/93,-3.553125026,0.929060739,-5.64,-1.64,48,,,,,0,0
COHM,1/1/94,-1.993125,1.556869686,-5.1,0.83,48,,,,,0,0
COHM,1/2/94,-0.405833332,1.417730928,-3.48,2.63,48,,,,,0,0
COHM,1/3/94,-2.637083324,0.516798479,-3.78,-1.51,48,,,,,0,0
COHM,1/4/94,-3.573333338,0.863459981,-5.13,-1.99,48,,,,,0,0
COHM,1/5/94,-3.450416667,0.988955954,-4.94,-0.2,48,,,,,0,0
COHM,1/6/94,-4.481041715,0.900092785,-5.88,-2.7,48,,,,,0,0
COHM,1/7/94,-2.546875008,1.532420091,-5.01,4.02,48,,,,,0,0
COHM,1/8/94,-3.939166675,1.2078147,-6.3,-1.33,48,,,,,0,0
COHM,1/9/94,-2.637499998,1.373674206,-5.13,2.61,48,,,,,0,0
COHM,1/10/94,-1.64583333,1.510609068,-4.26,2.44,48,,,,,0,0
COHM,1/11/94,-4.751041681,0.794575344,-6.58,-2.78,48,,,,,0,0
COHM,1/12/94,-1.816249983,1.344181687,-4.85,-0.06,24,,,,,0,0
COHM,1/13/94,-3.454999983,1.596965833,-5.18,-1.79,4,,,,,0,0
COHM,1/14/94,-2.24999997,1.022513204,-3.59,-1.12,4,,,,,0,0
COHM,1/15/94,-0.792500023,1.470813294,-2.7,0.74,4,,,,,0,0
COHM,1/16/94,-4.814999998,0.925400817,-6,-3.74,4,,,,,0,0
COHM,1/17/94,-4.7299999,0.232809006,-5.02,-4.45,4,,,,,0,0
COHM,1/18/94,-4.284999967,0.957303478,-5.89,-3.36,6,,,,,0,0
COHM,1/19/94,-4.171250015,1.147126018,-5.97,-3.05,8,,,,,0,0
COHM,1/20/94,-4.488749921,1.471242753,-6.81,-3.05,8,,,,,0,0
COHM,1/21/94,-4.710000008,1.296258374,-6.13,-2.52,8,,,,,0,0
COHM,1/22/94,-5.824999988,1.308051978,-8.16,-4.81,8,,,,,0,0
COHM,1/23/94,-3.841249943,2.224637551,-6.97,-1.43,8,,,,,0,0
COHM,1/24/94,-5.175000131,2.337892872,-8.42,-2.17,8,,,,,0,0
COHM,1/25/94,-5.423750013,1.250941803,-7.23,-3.16,8,,,,,0,0
COHM,1/26/94,-6.546249926,1.387875229,-8.73,-5.15,8,,,,,0,0
COHM,1/27/94,-4.845000029,0.98392803,-5.9,-3.12,8,,,,,0,0
COHM,1/28/94,-5.349999964,1.054351592,-7.11,-3.69,8,,,,,0,0
COHM,1/29/94,-10.27625,2.083108452,-12.08,-6.36,8,,,,,0,0
COHM,1/30/94,-10.87000012,1.325033474,-12.57,-9.35,8,,,,,0,0
COHM,1/31/94,-9.167500019,1.138630019,-11.28,-7.96,8,,,,,0,0
COHM,2/1/94,-9.407500029,1.994182717,-11.56,-6.64,8,,,,,0,0
COHM,2/2/94,-5.136666775,0.911061641,-6.13,-4.34,3,,,,,0,0
COHM,2/3/94,-8.097499967,1.026418823,-9.65,-6.47,8,,,,,0,0
COHM,2/4/94,-8.269999862,0.781098086,-9.65,-7.25,8,,,,,0,0
COHM,2/5/94,-9.326250017,2.06012437,-12.48,-7.58,8,,,,,0,0
COHM,2/6/94,-8.526250005,0.681195003,-9.65,-7.61,8,,,,,0,0
COHM,2/7/94,-7.741249979,2.726124649,-11,-4.23,8,,,,,0,0
COHM,2/8/94,-8.376249969,1.912044108,-12.5,-6.54,8,,,,,0,0
COHM,2/9/94,-8.488749921,1.765166312,-10.62,-5.61,8,,,,,0,0
COHM,2/10/94,-12.17875016,1.146054428,-13.94,-10.68,8,,,,,0,0
COHM,2/11/94,-11.54374993,1.852195102,-14.51,-8.89,8,,,,,0,0
COHM,2/12/94,-12.59500003,1.112397695,-15.08,-11.36,8,,,,,0,0
COHM,2/13/94,-12.41000009,2.533118023,-17.36,-10.22,8,,,,,0,0
