metlocid,date_time,avg_airt3m,std_airt3m,min_airt3m,max_airt3m,n_airt3m,avg_airtdel3m1,std_airtdel3m1,min_airtdel3m1,max_airtdel3m1,n_airtdel3m1,n_comments
EXEM,11/21/97,1.854705875,0.649431597,0.75,3.56,51,,,,,0,0
EXEM,11/22/97,1.259583338,0.928225151,-0.58,3.93,96,,,,,0,0
EXEM,11/23/97,-1.495729169,0.358663433,-2.24,-0.56,96,,,,,0,0
EXEM,11/24/97,-1.89125,0.834209676,-3.26,-0.73,96,,,,,0,0
EXEM,11/25/97,-1.718854164,0.892807361,-3.44,-0.45,96,,,,,0,0
EXEM,11/26/97,-1.424507049,0.536016501,-2.39,-0.29,71,,,,,0,0
EXEM,11/27/97,-2.713645825,0.448135603,-3.63,-1.63,96,,,,,0,0
EXEM,11/28/97,-3.904583342,0.907093607,-7.08,-3.01,96,,,,,0,0
EXEM,11/29/97,-8.828437532,0.7176252,-9.98,-7.22,96,,,,,0,0
EXEM,11/30/97,-6.734791661,1.731469734,-9.01,-4.29,96,,,,,0,0
EXEM,12/1/97,-3.699583334,1.203842894,-5.45,-1.31,96,,,,,0,0
EXEM,12/2/97,-3.809791667,0.542914118,-5.29,-2.81,96,,,,,0,0
EXEM,12/3/97,-4.886145853,0.76553163,-6.36,-3.64,96,,,,,0,0
EXEM,12/4/97,-5.749895828,0.961147877,-7.27,-3.61,96,,,,,0,0
EXEM,12/5/97,-6.351458351,0.382952451,-7.1,-5.41,96,,,,,0,0
EXEM,12/6/97,-5.082812483,1.156206764,-7.21,-3.13,96,,,,,0,0
EXEM,12/7/97,-7.767708351,0.395377192,-8.57,-6.73,96,,,,,0,0
EXEM,12/8/97,-7.744270841,0.407858982,-8.57,-7.05,96,,,,,0,0
EXEM,12/9/97,-7.765416682,0.563474048,-8.94,-6.27,96,,,,,0,0
EXEM,12/10/97,-7.537395845,1.432410694,-9.49,-5.42,96,,,,,0,0
EXEM,12/11/97,-9.595937505,0.614535484,-10.31,-7.82,96,,,,,0,0
EXEM,12/12/97,-7.667604173,1.803532648,-10.66,-5.33,96,,,,,0,0
EXEM,12/13/97,-3.370312492,1.820563511,-5.66,-0.42,96,,,,,0,0
EXEM,12/14/97,-2.690729167,0.871973262,-3.76,-1.16,96,,,,,0,0
EXEM,12/15/97,-3.436250001,0.847547849,-5,-1.97,96,,,,,0,0
EXEM,12/16/97,-3.673020837,0.459766801,-4.93,-2.62,96,,,,,0,0
EXEM,12/17/97,-3.527604184,0.499110278,-4.54,-1.68,96,,,,,0,0
EXEM,12/18/97,-5.571562501,0.810829758,-7.19,-3.84,96,,,,,0,0
EXEM,12/19/97,-5.613125014,1.323903582,-7.71,-3.76,96,,,,,0,0
EXEM,12/20/97,-3.839895839,0.561440811,-5.31,-2.84,96,,,,,0,0
EXEM,12/21/97,-4.820312512,0.93885647,-6.59,-3.07,96,,,,,0,0
EXEM,12/22/97,-2.531249989,1.669771635,-5.83,-0.27,96,,,,,0,0
EXEM,12/23/97,0.211145831,1.439462522,-2.52,3.57,96,,,,,0,0
EXEM,12/24/97,0.469270832,1.584520009,-2.37,2.99,96,,,,,0,0
EXEM,12/25/97,0.386145832,0.571139894,-1.34,1.27,96,,,,,0,0
EXEM,12/26/97,0.379791669,1.342855538,-1.93,2.07,96,,,,,0,0
EXEM,12/27/97,1.224791658,0.992606322,-0.89,2.7,96,,,,,0,0
EXEM,12/28/97,0.733541668,0.572690749,-0.48,1.8,96,,,,,0,0
EXEM,12/29/97,0.238333336,0.611362014,-0.84,1.73,96,,,,,0,0
EXEM,12/30/97,-0.258125,1.039422218,-1.46,1.66,96,,,,,0,0
EXEM,12/31/97,-1.67791667,0.205881504,-2.05,-0.94,96,,,,,0,0
EXEM,1/1/98,-1.5415625,0.562251735,-2.4,-0.43,96,,,,,0,0
EXEM,1/2/98,0.469166666,1.196934388,-0.93,3.27,96,,,,,0,0
EXEM,1/3/98,-1.588124995,0.502784479,-2.62,-0.53,96,,,,,0,0
EXEM,1/4/98,-1.092604154,1.227523161,-2.93,1.57,96,,,,,0,0
EXEM,1/5/98,-0.435416669,0.872895871,-2.51,0.82,96,,,,,0,0
EXEM,1/6/98,-0.372500003,0.982427713,-2.21,1.51,96,,,,,0,0
EXEM,1/7/98,-1.212708333,0.633327856,-2.64,0.01,96,,,,,0,0
EXEM,1/8/98,-3.127291645,1.012931608,-5.1,-1.47,96,,,,,0,0
EXEM,1/9/98,-4.972604168,0.545444775,-5.87,-3.68,96,,,,,0,0
EXEM,1/10/98,-5.287604193,0.543198624,-6.36,-4.24,96,,,,,0,0
EXEM,1/11/98,-4.813750003,1.19244839,-6.47,-1.59,96,,,,,0,0
EXEM,1/12/98,-4.47041666,2.070770969,-7.85,-1.61,96,,,,,0,0
EXEM,1/13/98,-1.727291672,1.062998232,-3.54,-0.04,96,-1.362105266,0.461866311,-2,-0.21,57,0
EXEM,1/14/98,-4.104791666,1.108615045,-6.06,-1.57,96,-0.950624996,0.606693906,-2.41,-0.12,96,0
EXEM,1/15/98,-6.002083319,1.198697446,-8.23,-3.82,96,-1.046458335,0.647038565,-2.03,-0.11,96,0
EXEM,1/16/98,-2.440833324,1.656633018,-5.25,-0.01,96,-0.975729173,0.432327236,-1.87,-0.19,96,0
EXEM,1/17/98,-2.95194446,0.487839844,-3.98,-2.15,72,-0.859444445,0.363057784,-1.37,-0.01,72,0
EXEM,1/18/98,-3.931098922,0.72394514,-5.05,-2.66,91,-1.058461533,0.578455647,-2.09,0.01,91,0
EXEM,1/19/98,-2.629583331,1.311246034,-5.05,-0.74,96,-1.064583335,0.528564926,-1.92,0.07,96,0
EXEM,1/20/98,-2.397604166,0.831511938,-3.52,-0.74,96,-0.725625001,0.590394717,-1.91,0.16,96,0
EXEM,1/21/98,-3.523020823,0.988497116,-5.36,-1.67,96,-1.062812495,0.631513973,-2.16,-0.06,96,0
EXEM,1/22/98,-3.458229188,1.18698114,-6.06,-1.78,96,-0.766458331,0.522818229,-1.87,0.14,96,0
EXEM,1/23/98,-3.396979161,1.945301559,-6.85,-0.93,96,-1.136145829,0.691360776,-2.07,0.51,96,0
EXEM,1/24/98,-3.8625,1.388726804,-6.69,-1.06,96,-0.81552083,0.474414584,-1.59,0.39,96,0
EXEM,1/25/98,-8.40791669,0.643413513,-9.33,-6.46,96,-0.423020833,0.240832415,-1.08,0.03,96,0
EXEM,1/26/98,-8.075520848,0.955246898,-9.38,-5.99,96,-0.459999999,0.319993419,-1.28,0.29,96,0
EXEM,1/27/98,-6.982395818,1.1032991,-9.45,-5.59,96,-1.003020826,0.699022047,-2.07,0.22,96,0
EXEM,1/28/98,-5.559895836,0.905585558,-8.16,-3.8,96,-0.758020834,0.709329736,-2.07,0.15,96,0
EXEM,1/29/98,-6.955624998,1.711948576,-9.48,-4.09,96,-0.320937498,0.221830081,-0.77,0.04,96,0
EXEM,1/30/98,-7.60999998,2.214905943,-10.73,-1.44,96,0.102187501,1.158869869,-3.08,3.34,96,0
EXEM,1/31/98,-8.43083329,1.158466921,-10.84,-6.33,96,-0.865312504,0.88267531,-2.48,0.32,96,0
EXEM,2/1/98,-9.491354118,0.8807671,-11.44,-8.01,96,-0.552708333,0.427805857,-1.52,0.11,96,0
EXEM,2/2/98,-9.016041641,0.893719002,-10.41,-7.43,96,-0.998437495,0.856750683,-2.42,0.06,96,0
EXEM,2/3/98,-7.538229143,1.778072243,-10.96,-4.14,96,-0.700416668,0.651063775,-1.96,0.14,96,0
EXEM,2/4/98,-6.488645862,1.706071311,-9.81,-4.22,96,-0.812708333,0.829830012,-2.23,0.76,96,0
EXEM,2/5/98,-5.598541667,1.516000244,-8.63,-2.55,96,-0.390729166,0.337077985,-1.07,0.04,96,0
