metlocid,date_time,avg_airt2m,stddev_airt2m,min_airt2m,max_airt2m,n_airt2m,avg_airt1_3m,stddev_airt1_3m,min_airt1_3m,max_airt1_3m,n_airt1_3m,n_comments
FLMM,1/8/11,-13.36096158,0.407018184,-14.08,-12.62,52,,,,,0,0
FLMM,1/9/11,-14.06385419,0.585294142,-15.3,-12.35,96,,,,,0,0
FLMM,1/10/11,-14.18562507,1.103963021,-15.8,-12.18,96,,,,,0,0
FLMM,1/11/11,-13.99770837,0.618358573,-14.97,-12.33,96,,,,,0,0
FLMM,1/12/11,-14.94843751,0.530599185,-16.36,-14.09,96,,,,,0,0
FLMM,1/13/11,-14.71572917,1.321160416,-16.84,-13,96,,,,,0,0
FLMM,1/14/11,-13.67135418,0.686873293,-14.56,-12.44,96,,,,,0,0
FLMM,1/15/11,-13.56656252,1.201255348,-15.66,-11.64,96,,,,,0,0
FLMM,1/16/11,-12.58760416,0.569734455,-13.56,-11.34,96,,,,,0,0
FLMM,1/17/11,-11.11708336,1.675872725,-13.69,-8.88,96,,,,,0,0
FLMM,1/18/11,-9.465520824,0.815173087,-10.65,-7.91,96,,,,,0,0
FLMM,1/19/11,-11.36427081,0.592556903,-12.83,-9.86,96,,,,,0,0
FLMM,1/20/11,-13.05354166,0.579675014,-13.9,-11.07,96,,,,,0,0
FLMM,1/21/11,-13.95510418,0.829174611,-15.52,-11.67,96,,,,,0,0
FLMM,1/22/11,-12.74947913,1.44956281,-15.98,-10.43,96,,,,,0,0
FLMM,1/23/11,-16.0244792,0.505456352,-17.22,-15.15,96,,,,,0,0
FLMM,1/24/11,-15.9913541,1.226191773,-20.3,-13.6,96,,,,,0,0
FLMM,1/25/11,-14.33604166,1.121321082,-16.56,-12.27,96,,,,,0,0
FLMM,1/26/11,-15.43947912,0.997113066,-16.66,-13.03,96,,,,,0,0
FLMM,1/27/11,-16.99989579,0.398363792,-18.37,-16.1,96,,,,,0,0
FLMM,1/28/11,-17.7957292,1.006783043,-19.12,-14.97,96,,,,,0,0
FLMM,1/29/11,-15.7945833,1.070627846,-18.59,-14.32,96,,,,,0,0
FLMM,1/30/11,-18.49041671,0.701307029,-19.43,-15.98,96,,,,,0,0
FLMM,1/31/11,-18.38104163,0.575427445,-19.5,-17.22,96,,,,,0,0
FLMM,2/1/11,-17.24135413,1.938174315,-20.19,-14.25,96,,,,,0,0
FLMM,2/2/11,-15.55656247,0.496272043,-16.97,-14.47,96,,,,,0,0
FLMM,2/3/11,-18.09135409,0.562963227,-19.19,-16.36,96,,,,,0,0
FLMM,2/4/11,-20.00229168,1.020042791,-21.81,-18.41,96,,,,,0,0
FLMM,2/5/11,-18.92020832,1.20697791,-20.78,-17.03,96,,,,,0,0
FLMM,2/6/11,-16.93302086,0.892293473,-18.41,-15.09,96,,,,,0,0
FLMM,2/7/11,-17.13760418,2.436922844,-21.69,-12.74,96,,,,,0,0
FLMM,2/8/11,-20.44843755,1.64012467,-23.34,-18.05,96,,,,,0,0
FLMM,2/9/11,-19.30260418,1.043537848,-21.19,-17.41,96,,,,,0,0
FLMM,2/10/11,-18.78427083,1.558614555,-21.01,-15.88,96,,,,,0,0
FLMM,2/11/11,-21.75895826,1.101875256,-23.92,-19.19,96,,,,,0,0
FLMM,2/12/11,-21.42229174,1.063561525,-22.91,-18.84,96,,,,,0,0
FLMM,2/13/11,-21.76229167,1.184832638,-23.84,-19.04,96,,,,,0,0
FLMM,2/14/11,-22.21802092,1.100498945,-24.13,-20.23,96,,,,,0,0
FLMM,2/15/11,-21.67229162,0.796623835,-22.79,-20.09,96,,,,,0,0
FLMM,2/16/11,-21.24593751,1.960914046,-24.52,-18.88,96,,,,,0,0
FLMM,2/17/11,-18.51999994,0.937094008,-20.05,-16.66,96,,,,,0,0
FLMM,2/18/11,-18.33937494,0.76153836,-19.34,-16.76,96,,,,,0,0
FLMM,2/19/11,-18.52229178,0.465286519,-19.45,-17.24,96,,,,,0,0
FLMM,2/20/11,-16.29562506,1.924470567,-19.4,-13.48,96,,,,,0,0
FLMM,2/21/11,-16.36802077,1.173280247,-18.41,-13.87,96,,,,,0,0
FLMM,2/22/11,-19.98208332,1.174007046,-22.01,-18.13,96,,,,,0,0
FLMM,2/23/11,-20.10531249,1.237891189,-22.14,-18.54,96,,,,,0,0
