metlocid,date_time,avg_airt3m,std_airt3m,min_airt3m,max_airt3m,n_airt3m,avg_airtdel3m1,std_airtdel3m1,min_airtdel3m1,max_airtdel3m1,n_airtdel3m1,n_comments
FRIM,12/7/93,-5.656949148,0.450609745,-6.91,-4.92,59,,,,,0,0
FRIM,12/8/93,-6.105069455,0.521513396,-6.91,-5.17,144,,,,,0,0
FRIM,12/9/93,-4.533055555,1.087708356,-6.56,-2.41,144,,,,,0,0
FRIM,12/10/93,-4.282083328,0.938973437,-6.5,-2.98,144,,,,,0,0
FRIM,12/11/93,-3.856250007,1.362009464,-6.37,-1.47,144,,,,,0,0
FRIM,12/12/93,-5.637986119,1.626716028,-8.75,-2.7,144,,,,,0,0
FRIM,12/13/93,-6.031111124,1.095790494,-7.76,-4.41,144,,,,,0,0
FRIM,12/14/93,-3.243263885,0.835503982,-4.92,-1.88,144,,,,,0,0
FRIM,12/15/93,-2.880138892,1.156957667,-4.82,0.14,144,,,,,0,0
FRIM,12/16/93,0.025902775,1.369006802,-2.68,1.49,144,,,,,0,0
FRIM,12/17/93,1.058263892,0.976874806,-1.05,5.21,144,,,,,0,0
FRIM,12/18/93,-0.68875,0.665963604,-2.15,0.91,144,,,,,0,0
FRIM,12/19/93,-0.97069444,1.597354301,-4.46,3.2,144,,,,,0,0
FRIM,12/20/93,-3.51923611,1.415560422,-5.25,0.05,144,,,,,0,0
FRIM,12/21/93,-6.886180563,0.726392554,-8.23,-5.28,144,,,,,0,0
FRIM,12/22/93,-4.309583322,3.199697728,-8.3,3.47,144,,,,,0,0
FRIM,12/23/93,-4.616666671,1.303996005,-6.94,-0.21,144,,,,,0,0
FRIM,12/24/93,-2.838263888,1.569003659,-6.73,0.21,144,,,,,0,0
FRIM,12/25/93,-2.915972224,1.069532481,-5.96,-1.36,144,,,,,0,0
FRIM,12/26/93,-2.285625009,1.263302215,-4.81,0.11,144,,,,,0,0
FRIM,12/27/93,-2.632847211,1.035696217,-4.65,0.46,144,,,,,0,0
FRIM,12/28/93,-4.524513884,0.901958113,-5.57,-2.79,144,,,,,0,0
FRIM,12/29/93,-3.066180551,1.238385479,-5.55,-0.95,144,,,,,0,0
FRIM,12/30/93,-0.367708331,1.212427326,-2.37,4.45,144,,,,,0,0
FRIM,12/31/93,-0.426527774,1.064602955,-2.46,2.5,144,,,,,0,0
FRIM,1/1/94,0.437777781,1.220764657,-2.33,3.37,144,,,,,0,0
FRIM,1/2/94,2.125069447,1.149571523,0.09,5.24,144,,,,,0,0
FRIM,1/3/94,-0.337361111,0.634077696,-2.02,1.41,144,,,,,0,0
FRIM,1/4/94,-1.163680552,0.793753361,-2.4,0.49,144,,,,,0,0
FRIM,1/5/94,-1.215486106,1.18960875,-3.62,2.46,144,,,,,0,0
FRIM,1/6/94,-2.670000011,0.897662101,-4.05,-1.26,73,,,,,0,0
FRIM,1/7/94,-0.781206896,0.831952002,-3.41,0.16,58,,,,,0,0
FRIM,1/8/94,-1.682013886,1.21197151,-4.26,0.59,144,,,,,0,0
FRIM,1/9/94,-0.324583335,1.192905531,-3.02,3.67,144,,,,,0,0
FRIM,1/10/94,0.609375004,1.721506996,-2.62,5.25,144,,,,,0,0
FRIM,1/11/94,-2.169791672,1.020386925,-4.11,1.92,144,,,,,0,0
FRIM,1/12/94,0.476477276,0.58828026,-1.19,2.4,88,,,,,0,0
FRIM,1/13/94,-1.344999976,1.759391086,-3.86,0.94,8,,,,,0,0
FRIM,1/14/94,-0.159999985,0.96387609,-1.53,1.49,8,,,,,0,0
FRIM,1/15/94,0.884999997,2.048497699,-1.9,3.27,8,,,,,0,0
FRIM,1/16/94,-2.719999995,1.211681255,-4.65,-0.22,8,,,,,0,0
FRIM,1/17/94,-2.25499998,0.730303276,-3.08,-1.13,8,,,,,0,0
FRIM,1/18/94,-1.69749999,0.482367643,-2.62,-1.23,8,,,,,0,0
FRIM,1/19/94,-1.553750023,0.927099002,-2.92,-0.62,8,,,,,0,0
FRIM,1/20/94,-1.706249965,1.14331517,-3.86,-0.24,8,,,,,0,0
FRIM,1/21/94,-2.328749992,1.114622766,-3.58,-0.57,8,,,,,0,0
FRIM,1/22/94,-2.777499974,0.426606202,-3.29,-1.97,8,,,,,0,0
FRIM,1/23/94,-1.31624998,1.936882104,-4.45,1.02,8,,,,,0,0
FRIM,1/24/94,-2.938749969,2.475505332,-6.07,0.9,8,,,,,0,0
FRIM,1/25/94,-3.054999977,1.112847039,-4.85,-1.51,8,,,,,0,0
FRIM,1/26/94,-4.17750001,1.409435034,-6.37,-2.82,8,,,,,0,0
FRIM,1/27/94,-2.134999949,1.34443825,-3.57,-0.09,8,,,,,0,0
FRIM,1/28/94,-2.561250024,1.203500149,-4.3,-0.82,8,,,,,0,0
FRIM,1/29/94,-8.026250064,2.156928707,-9.7,-3.92,8,,,,,0,0
FRIM,1/30/94,-8.586250067,1.433516579,-10.25,-6.61,8,,,,,0,0
FRIM,1/31/94,-6.12500006,0.701162297,-6.98,-5.21,8,,,,,0,0
FRIM,2/1/94,-6.726249993,1.920185409,-8.78,-4.03,8,,,,,0,0
FRIM,2/2/94,-3.527499959,1.617341246,-5.58,-1.75,8,,,,,0,0
FRIM,2/3/94,-5.536249995,0.964615934,-6.84,-3.94,8,,,,,0,0
FRIM,2/4/94,-5.436249942,1.168869297,-6.86,-3.99,8,,,,,0,0
FRIM,2/5/94,-6.336250007,1.443605869,-9.11,-5.01,8,,,,,0,0
FRIM,2/6/94,-6.388750076,0.807826784,-8.1,-5.57,8,,,,,0,0
FRIM,2/7/94,-10.16500008,2.839874294,-13.64,-6.26,8,,,,,0,0
FRIM,2/8/94,-9.232499838,5.096188041,-18.05,-4.11,8,,,,,0,0
FRIM,2/9/94,-6.123749942,1.594140381,-8.44,-3.16,8,,,,,0,0
FRIM,2/10/94,-10.23500001,1.796067175,-13.31,-8.29,8,,,,,0,0
FRIM,2/11/94,-14.91499984,4.84381199,-21.98,-9.9,8,,,,,0,0
FRIM,2/12/94,-11.0150001,1.822463073,-15.27,-9.31,8,,,,,0,0
FRIM,2/13/94,-13.68999994,6.777797762,-23.55,-7.91,8,,,,,0,0
FRIM,2/14/94,-10.60874993,2.973912427,-15.23,-6.77,8,,,,,0,0
FRIM,2/15/94,-14.02125013,4.568890168,-19.61,-8.09,8,,,,,0,0
FRIM,2/16/94,-8.588749945,2.581270015,-13.2,-5.31,8,,,,,0,0
FRIM,2/17/94,-11.02125007,4.591751551,-17.66,-5.51,8,,,,,0,0
FRIM,2/18/94,-15.1787498,4.889123224,-22.15,-9.98,8,,,,,0,0
FRIM,2/19/94,-12.74374986,1.441199398,-14.96,-10.5,8,,,,,0,0
FRIM,2/20/94,-18.75249958,3.01264354,-23.38,-15.32,8,,,,,0,0
FRIM,2/21/94,-21.3075,4.551962969,-27.09,-14.19,8,,,,,0,0
FRIM,2/22/94,-16.55749977,4.738518886,-26.46,-11.34,8,,,,,0,0
FRIM,2/23/94,-16.24750018,2.738522945,-22.18,-13.44,8,,,,,0,0
FRIM,2/24/94,-23.29500008,4.624991455,-28.95,-16.21,8,,,,,0,0
FRIM,2/25/94,-24.86124969,4.438962423,-30.17,-18.63,8,,,,,0,0
FRIM,2/26/94,-25.03499985,4.74268769,-30.97,-17.89,8,,,,,0,0
FRIM,2/27/94,-26.11500001,4.220050978,-31.37,-19.61,8,,,,,0,0
FRIM,2/28/94,-25.4849999,4.723824022,-31.18,-18.92,8,,,,,0,0
FRIM,3/1/94,-27.67124963,4.078562151,-32.17,-21.73,8,,,,,0,0
FRIM,3/2/94,-29.52125001,4.217471855,-34.41,-22.67,8,,,,,0,0
FRIM,3/3/94,-29.11000037,4.122433739,-33.33,-22.78,8,,,,,0,0
FRIM,3/4/94,-30.34500003,4.138961099,-35.39,-25.09,8,,,,,0,0
FRIM,3/5/94,-25.9087503,3.966089873,-31.09,-19.92,8,,,,,0,0
FRIM,3/6/94,-28.98749995,3.420666847,-33.85,-24.7,8,,,,,0,0
FRIM,3/7/94,-29.73625016,3.251899826,-34.91,-25.77,8,,,,,0,0
FRIM,3/8/94,-33.00250053,4.001099367,-38.08,-28.01,8,,,,,0,0
FRIM,3/9/94,-21.58375025,1.7042544,-24.46,-19.85,8,,,,,0,0
FRIM,3/10/94,-19.01374984,7.04313616,-30.74,-13.31,8,,,,,0,0
FRIM,3/11/94,-17.65124989,1.860648478,-20,-15.29,8,,,,,0,0
FRIM,3/12/94,-18.07625031,2.606266887,-22.34,-15.05,8,,,,,0,0
FRIM,3/13/94,-25.36749983,2.659622643,-28.38,-21.41,8,,,,,0,0
FRIM,3/14/94,-26.16749978,5.399991101,-32.85,-20.07,8,,,,,0,0
FRIM,3/15/94,-23.62125015,3.535398207,-31.58,-20.79,8,,,,,0,0
FRIM,3/16/94,-25.62874985,4.779869532,-33.35,-19.4,8,,,,,0,0
FRIM,3/17/94,-34.01874995,2.783905566,-36.65,-29.81,8,,,,,0,0
FRIM,3/18/94,-28.22375011,4.028502157,-37.04,-23.47,8,,,,,0,0
FRIM,3/19/94,-21.51999998,5.634493482,-32.22,-17.49,8,,,,,0,0
FRIM,3/20/94,-28.4749999,3.583385589,-33.01,-24.36,8,,,,,0,0
FRIM,3/21/94,-34.10874987,2.234050738,-37.26,-29.79,8,,,,,0,0
FRIM,3/22/94,-38.34249926,1.871246816,-40.51,-34.98,8,,,,,0,0
FRIM,3/23/94,-39.74500084,2.425418799,-42.47,-35.34,8,,,,,0,0
FRIM,3/24/94,-39.17250013,1.832366139,-41.2,-36.21,8,,,,,0,0
FRIM,3/25/94,-35.4712503,3.552983908,-40.44,-31.78,8,,,,,0,0
FRIM,3/26/94,-28.79124975,3.821542217,-32.8,-20.38,8,,,,,0,0
FRIM,3/27/94,-23.39125013,5.349572786,-31.5,-16.32,8,,,,,0,0
FRIM,3/28/94,-17.3599999,3.407215126,-25.42,-14.28,8,,,,,0,0
FRIM,3/29/94,-21.35249996,5.12427728,-29.81,-16.16,8,,,,,0,0
FRIM,3/30/94,-35.48750019,1.763971274,-38.31,-32.8,8,,,,,0,0
FRIM,3/31/94,-33.60624957,4.437260341,-38.92,-28.2,8,,,,,0,0
FRIM,4/1/94,-27.45749998,3.231672703,-30.57,-20.81,8,,,,,0,0
FRIM,4/2/94,-16.80124986,3.470180825,-20.83,-12.32,8,,,,,0,0
FRIM,4/3/94,-24.0712502,1.462546255,-25.75,-22.06,8,,,,,0,0
FRIM,4/4/94,-22.57875013,6.074712011,-27.77,-12.72,8,,,,,0,0
FRIM,4/5/94,-23.19999993,8.033911924,-31.58,-13.01,8,,,,,0,0
FRIM,4/6/94,-30.67624998,2.100359858,-33.35,-27.68,8,,,,,0,0
FRIM,4/7/94,-21.68624997,12.01117672,-34.63,-8.76,8,,,,,0,0
FRIM,4/8/94,-16.66874969,1.508105843,-18.72,-14.96,8,,,,,0,0
FRIM,4/9/94,-19.56375027,3.443112755,-25.06,-15.52,8,,,,,0,0
FRIM,4/10/94,-23.82999969,5.072226766,-28.89,-13.99,8,,,,,0,0
FRIM,4/11/94,-15.91874981,6.174170429,-26.16,-11.14,8,,,,,0,0
FRIM,4/12/94,-24.72000027,2.34395264,-28.12,-22.09,8,,,,,0,0
FRIM,4/13/94,-22.49500012,1.832142071,-25.62,-20.39,8,,,,,0,0
FRIM,4/14/94,-22.42375016,1.632621994,-24.46,-19.79,8,,,,,0,0
FRIM,4/15/94,-30.29624963,3.951646412,-34.26,-22.24,8,,,,,0,0
FRIM,4/16/94,-33.94125056,3.951092243,-38.83,-26.09,8,,,,,0,0
FRIM,4/17/94,-22.69124985,11.5772826,-39.68,-13.03,8,,,,,0,0
FRIM,4/18/94,-13.61249995,3.020084024,-16.1,-8.91,8,,,,,0,0
FRIM,4/19/94,-14.0450002,1.115322041,-16.04,-12.62,8,,,,,0,0
FRIM,4/20/94,-20.30250025,6.416413687,-29.99,-13.68,8,,,,,0,0
FRIM,4/21/94,-30.52374983,1.865046387,-32.85,-28.4,8,,,,,0,0
FRIM,4/22/94,-28.73624992,1.374813628,-31.18,-26.76,8,,,,,0,0
FRIM,4/23/94,-31.16374969,2.723621114,-34.31,-27.61,8,,,,,0,0
FRIM,4/24/94,-35.21124983,1.688393328,-37.49,-32.87,8,,,,,0,0
FRIM,4/25/94,-32.14374995,2.670045121,-36.35,-28.65,8,,,,,0,0
FRIM,4/26/94,-34.62375021,6.662959391,-40.14,-20.64,8,,,,,0,0
FRIM,4/27/94,-31.0562501,1.941530608,-32.8,-26.83,8,,,,,0,0
FRIM,4/28/94,-29.42499971,3.650667152,-33.76,-23.41,8,,,,,0,0
FRIM,4/29/94,-24.97874975,1.358185919,-26.43,-22.28,8,,,,,0,0
FRIM,4/30/94,-30.37624979,4.065221642,-35.63,-25.32,8,,,,,0,0
FRIM,5/1/94,-41.36625004,2.499787815,-43.72,-36.59,8,,,,,0,0
FRIM,5/2/94,-33.97999978,4.965118623,-38.08,-25.55,8,,,,,0,0
FRIM,5/3/94,-35.78624988,3.024830852,-39.56,-31.01,8,,,,,0,0
