metlocid,date_time,avg_airt3m,std_airt3m,min_airt3m,max_airt3m,n_airt3m,n_comments
FRSM,12/21/10,-7.799629671,0.372497758,-8.51,-6.76,54,1
FRSM,12/22/10,-7.414895852,0.699116732,-8.88,-6.01,96,0
FRSM,12/23/10,-5.590520829,1.048890492,-7.93,-4.06,96,0
FRSM,12/24/10,-7.854166672,0.662727504,-9.12,-6.14,96,0
FRSM,12/25/10,-8.260937512,0.879593311,-9.67,-6.37,96,0
FRSM,12/26/10,-9.274062445,0.447410251,-9.98,-8.52,96,0
FRSM,12/27/10,-9.146250029,0.421821234,-9.83,-8.28,96,0
FRSM,12/28/10,-9.662604153,0.351999576,-10.55,-8.88,96,0
FRSM,12/29/10,-9.302500059,0.638227854,-10.72,-8.28,96,0
FRSM,12/30/10,-8.407083288,0.674500872,-9.69,-6.83,96,0
FRSM,12/31/10,-9.345312456,0.824096235,-10.89,-7.19,96,0
FRSM,1/1/11,-10.79802086,0.620033268,-12.05,-9.56,96,0
FRSM,1/2/11,-11.56229164,0.677455678,-13.04,-10.2,96,0
FRSM,1/3/11,-12.77718745,0.988907601,-14.23,-9.97,96,0
FRSM,1/4/11,-13.00656248,0.546641109,-14.01,-10.75,96,0
FRSM,1/5/11,-12.29427082,0.533752832,-13.36,-10.85,96,0
FRSM,1/6/11,-12.33260416,0.693579942,-13.58,-9.91,96,0
FRSM,1/7/11,-13.05218752,0.532995865,-14.36,-12.1,96,0
FRSM,1/8/11,-12.1908333,0.547839125,-13.37,-10.47,96,0
FRSM,1/9/11,-11.83010417,1.016100415,-13.55,-9.09,96,0
FRSM,1/10/11,-12.2645833,0.96012165,-13.92,-10.69,96,0
FRSM,1/11/11,-12.61031249,0.649567327,-13.79,-10.77,96,0
FRSM,1/12/11,-13.13218753,0.470194144,-13.95,-11.94,96,0
FRSM,1/13/11,-12.18083334,0.91755938,-13.85,-10.7,96,0
FRSM,1/14/11,-11.5327083,0.683217597,-12.43,-10.3,96,0
FRSM,1/15/11,-11.23968752,0.676466777,-12.35,-10.17,96,0
FRSM,1/16/11,-9.994791687,0.49221509,-10.73,-8.59,96,0
FRSM,1/17/11,-8.196354195,1.35029436,-10.73,-6.23,96,0
FRSM,1/18/11,-6.919791684,0.544136163,-7.96,-5.85,96,0
FRSM,1/19/11,-8.970937485,0.724924766,-10.38,-7.06,96,0
FRSM,1/20/11,-10.60697916,0.37043678,-11.18,-9.76,96,0
FRSM,1/21/11,-11.26593755,1.06086814,-13.05,-8.23,96,0
FRSM,1/22/11,-10.75375,0.813890287,-12.6,-9.09,96,0
FRSM,1/23/11,-14.19989581,0.463650274,-14.98,-12.57,96,0
FRSM,1/24/11,-13.0648958,1.671771217,-15.6,-10.08,96,0
FRSM,1/25/11,-11.98677079,0.80496544,-13.78,-10.27,96,0
FRSM,1/26/11,-13.42906253,1.040412937,-14.89,-10.84,96,0
FRSM,1/27/11,-15.83833348,0.795729004,-17.4,-13.68,96,0
FRSM,1/28/11,-14.63906253,0.712785615,-16.59,-12.66,96,0
FRSM,1/29/11,-13.56572916,0.956149861,-15.53,-11.85,96,0
FRSM,1/30/11,-15.63947919,1.316558847,-16.84,-10.67,96,0
FRSM,1/31/11,-15.8616667,0.62194203,-17.13,-13.69,96,0
FRSM,2/1/11,-14.00635419,1.71177845,-16.65,-11.46,96,0
FRSM,2/2/11,-12.88979163,1.047858962,-15.67,-11.53,96,0
FRSM,2/3/11,-16.27875001,0.493202685,-17.14,-15.11,96,0
FRSM,2/4/11,-17.26604165,1.509738542,-20.33,-14.36,96,0
FRSM,2/5/11,-15.30697911,1.315465152,-18.23,-13.17,96,0
FRSM,2/6/11,-14.48833333,0.51644672,-15.52,-13.51,96,0
FRSM,2/7/11,-15.12468748,1.850573121,-19.04,-11.66,96,0
FRSM,2/8/11,-18.30437501,1.241740438,-20.48,-16.44,96,0
FRSM,2/9/11,-16.52531255,0.872810299,-18.49,-14.96,96,0
FRSM,2/10/11,-16.37760417,1.080746061,-18.28,-13.89,96,0
FRSM,2/11/11,-19.61135417,0.574283268,-20.72,-17.68,96,0
FRSM,2/12/11,-18.801875,0.97123613,-20.51,-17.29,96,0
FRSM,2/13/11,-19.27479164,0.561730349,-20.34,-17.25,96,0
FRSM,2/14/11,-19.28677096,1.412866802,-21.94,-16.86,96,0
FRSM,2/15/11,-18.5505209,1.116435469,-20.41,-16.28,96,0
FRSM,2/16/11,-17.93499994,1.544696837,-20.64,-15.8,96,0
FRSM,2/17/11,-15.53812505,1.061911182,-17.08,-13.42,96,0
FRSM,2/18/11,-15.31687494,0.779426655,-16.56,-13.84,96,0
FRSM,2/19/11,-15.06229166,0.628782443,-15.89,-13.24,96,0
FRSM,2/20/11,-13.34489584,1.769545334,-15.74,-10.44,96,0
FRSM,2/21/11,-16.26802083,1.1108552,-19.16,-13.99,96,0
FRSM,2/22/11,-18.2382292,0.565789516,-19.22,-16.85,96,0
FRSM,2/23/11,-17.37749996,1.0370047,-19.41,-15.72,96,0
FRSM,2/24/11,-15.12947915,1.62137457,-17.17,-11.98,96,0
FRSM,2/25/11,-13.07708331,1.486713722,-15.33,-9.7,96,0
FRSM,2/26/11,-14.31239583,1.362786447,-16.68,-11.54,96,0
FRSM,2/27/11,-14.92218748,1.367916774,-17.11,-12.18,96,0
FRSM,2/28/11,-17.08427085,1.744114725,-20.59,-12.62,96,0
FRSM,3/1/11,-21.43927079,0.55124779,-22.53,-20.39,96,0
FRSM,3/2/11,-20.21749997,1.411685881,-22.57,-17.29,96,0
FRSM,3/3/11,-23.25437488,1.371780137,-25.54,-20.07,96,0
FRSM,3/4/11,-26.22489582,1.016656055,-28.31,-24.32,96,0
FRSM,3/5/11,-23.70666673,1.602554363,-26.41,-21.24,96,0
FRSM,3/6/11,-20.98000006,1.652276307,-23.97,-18.18,96,0
FRSM,3/7/11,-19.32177077,0.784216582,-20.48,-16.78,96,0
FRSM,3/8/11,-18.57645827,1.14682996,-21.13,-15.71,96,0
FRSM,3/9/11,-21.1141666,1.077359025,-23.96,-19.02,96,0
FRSM,3/10/11,-25.42750009,1.547517566,-29.04,-22.57,96,0
FRSM,3/11/11,-27.62791665,1.176983618,-29.89,-25.67,96,0
FRSM,3/12/11,-23.05531236,1.273785814,-25.54,-19.25,96,0
FRSM,3/13/11,-26.4870833,0.857883436,-27.61,-24.35,96,0
FRSM,3/14/11,-26.47333338,1.088299201,-27.83,-23.77,96,0
FRSM,3/15/11,-27.47427082,0.89882004,-28.88,-24.4,96,0
FRSM,3/16/11,-26.3086459,1.894936637,-29.16,-22.34,96,0
FRSM,3/17/11,-23.47906258,1.99519956,-26.37,-20.04,96,0
FRSM,3/18/11,-23.08968753,1.383362463,-26.29,-20.08,96,0
FRSM,3/19/11,-26.50062507,1.166946483,-28.9,-24.05,96,0
FRSM,3/20/11,-25.58177082,1.171925033,-27.73,-22.94,96,0
FRSM,3/21/11,-22.66614588,1.283700569,-25.89,-20.51,96,0
FRSM,3/22/11,-18.49177077,1.036887017,-20.67,-15.17,96,0
FRSM,3/23/11,-19.5215626,0.74376041,-21.22,-18.16,96,0
FRSM,3/24/11,-19.22593745,0.888991711,-20.67,-18.12,96,0
FRSM,3/25/11,-19.43406242,1.156832067,-21.68,-16.93,96,0
FRSM,3/26/11,-17.18520824,1.890287607,-21.98,-14.55,96,0
FRSM,3/27/11,-23.52864585,4.435934593,-30.8,-16.02,96,0
FRSM,3/28/11,-29.34531256,0.791718828,-30.87,-27.78,96,0
FRSM,3/29/11,-25.8696874,1.741355412,-30.21,-22.89,96,0
FRSM,3/30/11,-25.08208338,1.012801096,-27.89,-23.69,96,0
FRSM,3/31/11,-27.56718743,0.597540059,-28.74,-26.11,96,0
FRSM,4/1/11,-26.81187503,1.039137627,-28.32,-24.32,96,0
FRSM,4/2/11,-29.01875001,0.861643853,-30.66,-26.82,96,0
FRSM,4/3/11,-28.62541662,1.663154113,-31.49,-26.43,96,0
FRSM,4/4/11,-27.92354174,1.618833118,-31.42,-25.95,96,0
FRSM,4/5/11,-30.47177076,1.693341674,-33.04,-26.23,96,0
FRSM,4/6/11,-34.65645842,1.350161796,-36.88,-32.32,96,0
FRSM,4/7/11,-32.21833334,2.937883049,-37.22,-27.92,96,0
FRSM,4/8/11,-28.73927079,0.758033873,-29.89,-25.86,96,0
FRSM,4/9/11,-32.09083337,1.680489786,-34.3,-28.97,96,0
FRSM,4/10/11,-27.94302084,3.053488455,-33.55,-23.49,96,0
FRSM,4/11/11,-22.28124998,0.848817461,-24.39,-21,96,0
