metlocid,date_time,avg_airt1m,std_airt1m,min_airt1m,max_airt1m,n_airt1m,avg_airt3m,std_airt3m,min_airt3m,max_airt3m,n_airt3m,n_comments
HODM,11/20/93,,,,,0,-6.223333359,0.861935791,-6.89,-5.25,3,0
HODM,11/21/93,,,,,0,-4.68749997,2.534852759,-7.5,-1.23,8,0
HODM,11/22/93,,,,,0,-6.311250031,1.630989638,-8.97,-4.49,8,0
HODM,11/23/93,,,,,0,-7.256249905,1.708206539,-9.26,-5.12,8,0
HODM,11/24/93,,,,,0,-9.036249995,0.416822444,-9.53,-8.38,8,0
HODM,11/25/93,,,,,0,-7.832500041,2.273152231,-10.63,-4.82,8,0
HODM,11/26/93,,,,,0,-8.371428558,1.920194608,-10.9,-5.4,7,0
HODM,11/27/93,,,,,0,-7.898750007,1.392956179,-9.34,-4.91,8,0
HODM,11/28/93,,,,,0,-9.37500006,1.335012037,-11.26,-7.73,8,0
HODM,11/29/93,,,,,0,-9.623749912,1.256786598,-10.94,-7.9,8,0
HODM,11/30/93,,,,,0,-8.780000091,2.378420863,-12.62,-6.37,8,0
HODM,12/1/93,,,,,0,-7.75000006,1.81638574,-10.12,-5.73,8,0
HODM,12/2/93,,,,,0,-8.143749952,1.471043781,-10.77,-6.73,8,0
HODM,12/3/93,,,,,0,-9.169666656,1.679828541,-11.84,-6.54,30,0
HODM,12/4/93,,,,,0,-10.68083336,0.955670303,-13.66,-8.99,48,0
HODM,12/5/93,,,,,0,-10.866875,2.053677745,-13.84,-6.64,48,0
HODM,12/6/93,,,,,0,-10.27583331,2.649036595,-14.12,-6.46,48,0
HODM,12/7/93,,,,,0,-9.826666653,2.210322294,-13.33,-5.98,48,0
HODM,12/8/93,,,,,0,-9.792499999,0.944370813,-12.58,-8.14,48,0
HODM,12/9/93,,,,,0,-9.346250027,2.576753389,-13.97,-6,48,0
HODM,12/10/93,,,,,0,-8.407708327,2.664946776,-12.73,-4.69,48,0
HODM,12/11/93,,,,,0,-6.686041673,1.483997946,-9.3,-4.69,48,0
HODM,12/12/93,,,,,0,-7.101250067,2.275997473,-10.77,-3.2,48,0
HODM,12/13/93,,,,,0,-9.075416634,1.376690379,-12.21,-5.93,48,0
HODM,12/14/93,,,,,0,-7.353541672,2.597618799,-12.42,-4.34,48,0
HODM,12/15/93,,,,,0,-4.862708344,2.581906544,-9.12,0.06,48,0
HODM,12/16/93,,,,,0,-3.066666673,1.611590144,-5.89,-1.02,48,0
HODM,12/17/93,,,,,0,-1.213333334,1.481677219,-3.65,2.45,48,0
HODM,12/18/93,,,,,0,-4.035208327,0.863247184,-5.27,-1.93,48,0
HODM,12/19/93,,,,,0,-3.321458317,1.875645666,-7.54,0.5,48,0
HODM,12/20/93,,,,,0,-5.802916696,1.294457837,-7.52,-3.18,48,0
