metlocid,date_time,avg_airt3m,std_airt3m,min_airt3m,max_airt3m,n_airt3m,avg_airtdel3m1,std_airtdel3m1,min_airtdel3m1,max_airtdel3m1,n_airtdel3m1,n_comments
HOEM,11/11/87,-6.71999979,,-6.72,-6.72,1,,,,,0,0
HOEM,11/12/87,-8.030833284,2.307601864,-12.62,-4.9,12,,,,,0,0
HOEM,11/13/87,-7.579166512,2.897994354,-12.44,-3.39,12,,,,,0,0
HOEM,11/14/87,-6.326666643,2.881906951,-11.03,-0.61,12,,,,,0,0
HOEM,11/15/87,-5.953333328,2.888407343,-9.58,-1.11,12,,,,,0,0
HOEM,11/16/87,-4.976666679,1.715545703,-6.81,-1.11,12,,,,,0,0
HOEM,11/17/87,-8.294999917,1.138024539,-10.44,-6.8,12,,,,,0,0
HOEM,11/18/87,-8.092500011,2.05128834,-10.61,-4.49,12,,,,,0,0
HOEM,11/19/87,-7.983333309,2.580483946,-11.92,-4.36,12,,,,,0,0
HOEM,11/20/87,-5.257499913,2.522700896,-8.62,-2.56,12,,,,,0,0
HOEM,11/21/87,-2.623333337,2.890081281,-6.8,1.25,12,,,,,0,0
HOEM,11/22/87,-2.248333346,1.690706335,-4.69,0.31,12,,,,,0,0
HOEM,11/23/87,-2.850000019,1.55676242,-5.23,-0.94,12,,,,,0,0
HOEM,11/24/87,-2.866666631,1.922934884,-6.72,0.12,12,,,,,0,0
HOEM,11/25/87,-3.517500018,1.905953001,-7.02,-0.67,12,,,,,0,0
HOEM,11/26/87,-2.145000026,1.576748735,-6.05,-0.37,12,,,,,0,0
HOEM,11/27/87,-0.859166664,1.538992954,-4.17,1.44,12,,,,,0,0
HOEM,11/28/87,-2.00333332,1.138917595,-4.64,-0.73,12,,,,,0,0
HOEM,11/29/87,-2.039999969,2.244447696,-5.54,3.19,12,,,,,0,0
HOEM,11/30/87,-2.494999995,1.652851506,-4.74,1.78,12,,,,,0,0
HOEM,12/1/87,-1.545833312,0.972124717,-3.08,0.47,12,,,,,0,0
HOEM,12/2/87,0.039166686,1.757112637,-2.27,3.14,12,,,,,0,0
HOEM,12/3/87,1.470833324,1.287904979,-0.7,3.13,12,,,,,0,0
HOEM,12/4/87,0.529999989,1.112736185,-1.23,2.59,12,,,,,0,0
HOEM,12/5/87,1.430833315,0.894360661,-1.06,2.36,12,,,,,0,0
HOEM,12/6/87,1.446666643,2.056728761,-2.57,4.6,12,,,,,0,0
HOEM,12/7/87,1.398333351,1.520985542,-1.2,3.75,12,,,,,0,0
HOEM,12/8/87,1.094999999,1.073333807,-0.4,3.01,12,,,,,0,0
