metlocid,date_time,avg_airt3m,stddev_airt3m,min_airt3m,max_airt3m,n_airt3m,n_comments
MISM,1/28/12,-2.09615388,0.469773832,-3.03,-1.08,39,0
MISM,1/29/12,-2.954270819,1.00877492,-4.68,-1.36,96,0
MISM,1/30/12,-3.602916676,1.431042275,-6.69,-0.02,96,0
MISM,1/31/12,-4.769791675,0.651186753,-6.3,-3.02,96,0
MISM,2/1/12,-4.651250002,1.730729812,-8.07,-2.47,96,0
MISM,2/2/12,-3.807187521,1.158197978,-5.61,-1.64,96,0
MISM,2/3/12,-3.42104166,0.487212217,-4.97,-2.44,96,0
MISM,2/4/12,-5.314895836,1.16754983,-7.22,-1.2,96,0
MISM,2/5/12,-6.74104168,0.929334204,-8.67,-5.62,96,0
MISM,2/6/12,-5.384999993,1.924648953,-9.07,-2.83,96,0
MISM,2/7/12,-1.511666666,1.492127175,-4.31,1.02,96,0
MISM,2/8/12,-2.675729138,1.997991996,-6.13,2.41,96,0
MISM,2/9/12,-4.792812496,1.297368765,-7.67,-2.15,96,0
MISM,2/10/12,-4.794999996,1.699349108,-7.82,-1.08,96,0
MISM,2/11/12,-5.640624994,1.89186113,-8.86,-1.59,96,0
MISM,2/12/12,-7.558437531,0.862901273,-9.72,-6.41,96,0
MISM,2/13/12,-8.004062494,1.111981218,-9.66,-6.22,96,0
MISM,2/14/12,-9.037291661,0.60911581,-10.5,-7.63,96,0
MISM,2/15/12,-9.572187458,1.563984265,-12.98,-5.77,96,0
MISM,2/16/12,-12.1984375,0.695529071,-13.67,-10.73,96,0
MISM,2/17/12,-11.79552087,1.749894372,-14.99,-9.53,96,0
MISM,2/18/12,-7.961979173,4.348825742,-14.34,-2.23,96,0
MISM,2/19/12,-1.354479171,0.994226358,-2.75,0.9,96,0
MISM,2/20/12,0.463541662,2.275511269,-3.68,4,96,0
MISM,2/21/12,-0.451874997,1.711111857,-5.79,1.79,96,0
MISM,2/22/12,-7.86583332,1.555605597,-11.43,-3.86,96,0
MISM,2/23/12,-7.094791668,3.12797663,-12.64,-2.24,96,0
MISM,2/24/12,-9.565104152,1.187574216,-12.54,-6.66,96,0
MISM,2/25/12,-12.44458337,1.214012874,-14.76,-9.05,96,0
MISM,2/26/12,-11.48468749,1.244644941,-12.96,-9.53,96,0
MISM,2/27/12,-10.64333331,0.873106617,-13.55,-8.85,96,0
MISM,2/28/12,-12.79020831,1.300192706,-15.22,-10.09,96,0
MISM,2/29/12,-16.41458334,0.945568003,-18.8,-14.45,96,0
MISM,3/1/12,-17.02406243,1.691116505,-20.05,-13.23,96,0
MISM,3/2/12,-14.74437501,2.305728271,-18.81,-10.86,96,0
MISM,3/3/12,-18.17687494,1.228507238,-20.64,-14.93,96,0
MISM,3/4/12,-17.22364583,2.515608152,-21.02,-13.39,96,0
MISM,3/5/12,-14.58552084,1.566528754,-17.64,-11.46,96,0
MISM,3/6/12,-14.24114583,1.841597588,-17.23,-10.61,96,0
MISM,3/7/12,-16.71781238,1.192570963,-19.38,-13,96,0
MISM,3/8/12,-16.98739594,1.477669802,-19.37,-14.06,96,0
MISM,3/9/12,-18.32208322,1.463343514,-21.31,-12.89,96,0
MISM,3/10/12,-14.65624998,2.418967712,-19.84,-10.25,96,0
MISM,3/11/12,-11.17333334,2.326577158,-14.26,-6.77,96,0
MISM,3/12/12,-9.126875018,1.009710039,-11.31,-6.67,96,0
MISM,3/13/12,-9.78239585,1.039226198,-12.34,-8.17,96,0
MISM,3/14/12,-8.552604164,1.265481187,-11.04,-6.48,96,0
MISM,3/15/12,-11.25197915,1.526223828,-15.46,-8.9,96,0
MISM,3/16/12,-16.11333328,0.830615065,-17.65,-14.65,96,0
MISM,3/17/12,-18.95739581,1.253001671,-21.31,-16.87,96,0
MISM,3/18/12,-18.35833339,1.894983774,-21.94,-15.34,96,0
MISM,3/19/12,-23.70156248,1.831097718,-27.46,-20.08,96,0
MISM,3/20/12,-27.95218752,1.621336081,-30.5,-24.26,96,0
MISM,3/21/12,-23.87145843,2.34492945,-30.31,-20.12,96,0
MISM,3/22/12,-25.04635415,1.638977948,-28.2,-21.63,96,0
MISM,3/23/12,-21.04145834,3.211906105,-26.82,-13.33,96,0
MISM,3/24/12,-16.26624999,6.041374946,-25.5,-7.82,96,0
MISM,3/25/12,-25.25927085,0.655379746,-26.92,-23.69,96,0
MISM,3/26/12,-22.77135426,2.016529351,-26.2,-19.77,96,0
MISM,3/27/12,-19.49343747,1.855309875,-23.56,-16.64,96,0
MISM,3/28/12,-16.15114584,1.114824418,-18.76,-13.59,96,0
MISM,3/29/12,-15.11802083,1.641694677,-18.43,-10.72,96,0
MISM,3/30/12,-8.51281249,2.346610396,-11.6,-4.25,96,0
MISM,3/31/12,-13.07385419,1.244355157,-15.01,-9.98,96,0
MISM,4/1/12,-14.59718746,0.786429258,-16.24,-12.96,96,0
MISM,4/2/12,-16.69645826,1.353080675,-20.33,-13.97,96,0
MISM,4/3/12,-20.92645828,1.075288939,-23.72,-18.47,96,0
MISM,4/4/12,-25.30291667,1.190679588,-27.66,-22.8,96,0
MISM,4/5/12,-27.87968755,1.154894757,-30.59,-24.84,96,0
MISM,4/6/12,-27.43291662,1.03611511,-29.82,-25.28,96,0
MISM,4/7/12,-29.65489578,0.910872403,-32.06,-27.9,96,0
MISM,4/8/12,-28.71593746,0.898136752,-31.03,-27.01,96,0
MISM,4/9/12,-27.41302089,1.972107274,-31.33,-23.7,96,0
MISM,4/10/12,-28.58031237,1.205985463,-31,-26.16,96,0
MISM,4/11/12,-25.96031245,1.961336126,-28.94,-20.4,96,0
MISM,4/12/12,-18.13520828,1.961996263,-21.89,-14.15,96,0
MISM,4/13/12,-24.79354165,2.446887923,-29.48,-17.01,96,0
MISM,4/14/12,-27.90552088,1.026639759,-30.28,-25.33,96,0
MISM,4/15/12,-26.87218748,1.406647544,-29.42,-21.27,96,0
MISM,4/16/12,-22.69541663,1.841496515,-26.22,-19.15,96,0
MISM,4/17/12,-22.2605208,1.166825061,-25.19,-19.39,96,0
MISM,4/18/12,-19.3236458,2.268199954,-25.4,-14.53,96,0
MISM,4/19/12,-15.5395833,1.829942141,-19.78,-12.14,96,0
MISM,4/20/12,-23.72739583,3.568946861,-28.38,-16.56,96,0
MISM,4/21/12,-23.06166664,3.799802728,-28.22,-13.57,96,0
MISM,4/22/12,-10.93135418,3.211946349,-17.79,-6.96,96,0
MISM,4/23/12,-14.22531249,1.923270681,-17.02,-9.28,96,0
MISM,4/24/12,-14.76562502,1.933387983,-18.58,-7.24,96,0
MISM,4/25/12,-7.949687481,1.745400208,-10.61,-4.76,96,0
MISM,4/26/12,-14.78666664,3.167750863,-20.59,-9.13,96,0
MISM,4/27/12,-14.4545833,3.290137665,-19.51,-8.25,96,0
MISM,4/28/12,-16.3815626,4.279124245,-23.87,-8.85,96,0
MISM,4/29/12,-26.15291661,0.987534884,-28.38,-23.38,96,0
MISM,4/30/12,-25.22270838,0.891875019,-27.66,-23.75,96,0
