metlocid,date_time,avg_airt1m,std_airt1m,min_airt1m,max_airt1m,n_airt1m,avg_airt3m,std_airt3m,min_airt3m,max_airt3m,n_airt3m,n_comments
TARM,11/21/94,,,,,0,-11.27115385,1.134715275,-13.32,-9.69,26,0
TARM,11/22/94,,,,,0,-12.20847227,1.053967216,-14.15,-8.52,72,0
TARM,11/23/94,,,,,0,-9.65138886,2.698041726,-13.77,-2.72,72,0
TARM,11/24/94,,,,,0,-10.04152779,0.834000497,-11.77,-8.25,72,0
TARM,11/25/94,,,,,0,-6.290555549,3.410154611,-10.94,1.57,72,0
TARM,11/26/94,,,,,0,-10.80500004,1.927680505,-14.09,-5.26,72,0
TARM,11/27/94,,,,,0,-11.60111113,1.953256971,-15.45,-9.04,72,0
TARM,11/28/94,,,,,0,-11.00680557,0.837161231,-12.55,-9.94,72,0
TARM,11/29/94,,,,,0,-11.23000001,1.057802663,-13.43,-10.06,72,0
TARM,11/30/94,,,,,0,-9.914444453,1.876604612,-13.56,-6.06,72,0
TARM,12/1/94,,,,,0,-8.419444415,1.72941727,-12.12,-5.25,72,0
TARM,12/2/94,,,,,0,-7.964583344,1.751293251,-11.44,-5.15,72,0
TARM,12/3/94,,,,,0,-5.821805545,3.062802404,-11.31,1.32,72,0
TARM,12/4/94,,,,,0,-6.231249991,1.237240178,-8.27,-3.76,72,0
TARM,12/5/94,,,,,0,-4.850972248,1.13390038,-7.51,-2.21,72,0
TARM,12/6/94,,,,,0,-3.969305562,1.818893283,-6.74,1.59,72,0
TARM,12/7/94,,,,,0,-3.999444464,1.897753968,-7.78,-0.46,72,0
TARM,12/8/94,,,,,0,-3.899444441,1.705788729,-7.29,-1.06,72,0
TARM,12/9/94,,,,,0,-2.299444439,1.859089506,-5.71,1.32,72,0
TARM,12/10/94,,,,,0,-2.529166666,1.693279796,-5.61,1.22,72,0
TARM,12/11/94,,,,,0,-2.379861115,2.230169881,-6.96,1.46,72,0
TARM,12/12/94,,,,,0,-0.648888875,2.511718731,-5.18,3.62,72,0
TARM,12/13/94,,,,,0,-1.524722224,1.725072754,-4.52,2.28,72,0
TARM,12/14/94,,,,,0,-2.796805556,0.750775811,-4.13,-1.58,72,0
TARM,12/15/94,,,,,0,-1.776250007,1.393048582,-4.26,0.51,72,0
TARM,12/16/94,,,,,0,-2.740138893,0.612854076,-4.02,-1.59,72,0
TARM,12/17/94,,,,,0,-3.163333332,0.805390295,-4.39,-0.44,72,0
TARM,12/18/94,,,,,0,-2.837500014,1.035722184,-4.66,-1.01,72,0
TARM,12/19/94,,,,,0,-2.007638895,1.834225869,-5.38,0.77,72,0
TARM,12/20/94,,,,,0,-3.510277785,1.730531113,-5.97,1.25,72,0
TARM,12/21/94,,,,,0,-6.094027784,0.466547581,-6.88,-4.83,72,0
TARM,12/22/94,,,,,0,-4.494583337,1.571562365,-6.43,-1.05,72,0
TARM,12/23/94,,,,,0,-5.898888883,1.140256415,-7.75,-3.95,72,0
TARM,12/24/94,,,,,0,-4.244305559,1.584246218,-7.17,-0.63,72,0
TARM,12/25/94,,,,,0,-5.210833339,1.638623396,-7.66,0.09,72,0
TARM,12/26/94,,,,,0,-3.915833314,1.739616859,-7.23,-0.42,72,0
TARM,12/27/94,,,,,0,-3.148749984,1.637289003,-6.25,-1.27,72,0
TARM,12/28/94,,,,,0,-1.442638884,1.501830794,-3.47,1.22,72,0
TARM,12/29/94,,,,,0,-1.411388885,1.297968409,-3.77,0.99,72,0
TARM,12/30/94,,,,,0,-1.582777765,1.129355058,-3.89,0.47,72,0
TARM,12/31/94,,,,,0,-2.029305544,0.930671916,-3.64,-0.23,72,0
TARM,1/1/95,,,,,0,-0.494027783,2.989925662,-5.92,6.67,72,0
TARM,1/2/95,,,,,0,-2.241666669,1.650870872,-6.06,-0.44,72,0
TARM,1/3/95,,,,,0,-6.947222233,0.571511996,-7.96,-6.09,72,0
TARM,1/4/95,,,,,0,-4.971805568,1.876467551,-7.57,-1.09,72,0
TARM,1/5/95,,,,,0,-3.328472205,2.349302958,-5.87,4.01,72,0
TARM,1/6/95,,,,,0,-3.865277786,1.743638734,-6.42,1.15,72,0
TARM,1/7/95,,,,,0,-2.278472238,2.815499196,-7.19,2.04,72,0
TARM,1/8/95,,,,,0,-0.796944449,1.786298129,-3.93,2.39,72,0
TARM,1/9/95,,,,,0,0.19194444,1.987147887,-3.39,3.54,72,0
TARM,1/10/95,,,,,0,-0.753333328,1.388666384,-3.04,2.36,72,0
TARM,1/11/95,,,,,0,-0.897777778,1.368088225,-3.28,2.61,72,0
TARM,1/12/95,,,,,0,-4.388888891,1.243599446,-6.5,-1.78,72,0
TARM,1/13/95,,,,,0,-4.969583333,1.299386006,-6.93,-2.7,72,0
TARM,1/14/95,,,,,0,-4.259722208,2.138288747,-7.42,3.16,72,0
TARM,1/15/95,,,,,0,-3.307361119,2.064083194,-6.27,1.54,72,0
TARM,1/16/95,,,,,0,-3.277638859,2.036301153,-6.41,1.69,72,0
TARM,1/17/95,,,,,0,-2.967222228,1.807276553,-5.64,2.2,72,0
TARM,1/18/95,,,,,0,-4.341111109,1.152907575,-6.18,-1.59,72,0
TARM,1/19/95,,,,,0,-3.698888887,1.643169854,-6.25,-0.44,72,0
TARM,1/20/95,,,,,0,-3.125277778,2.754467792,-8.02,3.56,72,0
TARM,1/21/95,,,,,0,-2.884305553,2.173008442,-6.56,0.37,72,0
TARM,1/22/95,,,,,0,-2.930000005,1.649692256,-5.69,0,72,0
TARM,1/23/95,,,,,0,-3.727794127,2.130087146,-6.17,1.83,68,0
TARM,1/24/95,,,,,0,-5.439027793,1.308886388,-7.71,-3.49,72,0
TARM,1/25/95,,,,,0,-3.892916685,2.470590078,-8.39,0.01,72,0
TARM,1/26/95,,,,,0,-4.976111107,0.640544534,-6.66,-3.71,72,0
TARM,1/27/95,,,,,0,-3.57777778,1.138569922,-6.08,-1.22,72,0
TARM,1/28/95,,,,,0,-5.829722219,1.000302725,-7.78,-4.24,72,0
TARM,1/29/95,,,,,0,-5.469583318,3.226407088,-11.22,2.36,72,0
TARM,1/30/95,,,,,0,-4.216111097,2.471416623,-7.95,0.36,72,0
TARM,1/31/95,,,,,0,-4.562638875,2.737505248,-8.69,3.25,72,0
TARM,2/1/95,,,,,0,-4.284444445,2.387214115,-8.18,-0.98,72,0
TARM,2/2/95,,,,,0,0.023333332,2.112005257,-2.89,2.91,72,0
TARM,2/3/95,,,,,0,-1.729861126,1.432852499,-4.53,1.32,72,0
TARM,2/4/95,,,,,0,-4.688750004,1.403451446,-8.39,-1.63,72,0
TARM,2/5/95,,,,,0,-10.42388895,1.734963973,-15.15,-7.99,72,0
TARM,2/6/95,,,,,0,-6.469722241,2.686156464,-14.19,-3.14,72,0
TARM,2/7/95,,,,,0,-6.593333342,1.98223022,-10.28,-1.43,72,0
TARM,2/8/95,,,,,0,-6.222499985,2.608106413,-10.84,-1.88,72,0
TARM,2/9/95,,,,,0,-6.236666673,1.282085689,-8.56,-4.05,72,0
TARM,2/10/95,,,,,0,-8.555694487,1.32037858,-11.41,-6.46,72,0
