metlocid,date_time,avg_airt3m,std_airt3m,min_airt3m,max_airt3m,n_airt3m,n_comments
VIAM,11/24/95,-0.420000003,1.345397381,-2.38,2.28,18,0
VIAM,11/25/95,-2.288750007,3.019124604,-9.76,2.39,48,0
VIAM,11/26/95,-1.546041676,2.271284908,-6.98,1,48,0
VIAM,11/27/95,-5.120000035,3.0376272,-10.5,-0.62,48,0
VIAM,11/28/95,-5.815416634,1.613343202,-9.44,-3.65,48,0
VIAM,11/29/95,-5.833541602,2.106131306,-9.97,-2.71,48,0
VIAM,11/30/95,-6.515000006,0.9997404,-8.19,-4.71,48,0
VIAM,12/1/95,-4.768333331,1.359715759,-7.45,-2.55,48,0
VIAM,12/2/95,-3.722916677,2.135913722,-8.33,0.56,48,0
VIAM,12/3/95,-3.643541678,1.894870443,-6.82,-0.72,48,0
VIAM,12/4/95,-5.29020832,1.290399032,-8.77,-3.38,48,0
VIAM,12/5/95,-4.658749998,1.091591907,-6.44,-2.3,48,0
VIAM,12/6/95,-4.839375009,1.49875607,-7.21,-0.89,48,0
VIAM,12/7/95,-5.171041697,1.646052993,-8.88,-2.78,48,0
VIAM,12/8/95,-3.717499991,1.496271269,-7.28,-1.42,48,0
VIAM,12/9/95,-3.334166666,1.504618202,-7.37,-1.55,48,0
VIAM,12/10/95,-0.159999992,2.981553929,-4.6,4.11,48,0
VIAM,12/11/95,0.781458333,1.98482111,-1.93,3.6,48,0
VIAM,12/12/95,-1.753958343,1.134251544,-3.44,0.71,48,0
VIAM,12/13/95,-2.941250014,0.92507765,-4.76,-1.07,48,0
VIAM,12/14/95,-1.785208328,1.04412845,-3.82,0.28,48,0
VIAM,12/15/95,-1.38,1.174746688,-3.92,0.36,48,0
VIAM,12/16/95,-3.12770835,0.948302496,-4.78,-0.24,48,0
VIAM,12/17/95,-4.234374993,1.096506842,-6.14,-1.08,48,0
VIAM,12/18/95,-3.782500016,1.502243008,-7.11,-1.71,48,0
VIAM,12/19/95,-2.779583325,1.292067366,-4.79,-0.83,48,0
VIAM,12/20/95,-3.56979167,1.533018858,-6.32,-1.29,48,0
VIAM,12/21/95,0.301458323,2.289527511,-3.08,4.71,48,0
VIAM,12/22/95,2.400624985,1.820623462,-1.71,4.77,48,0
VIAM,12/23/95,3.527916649,2.085316372,0.45,6.97,48,0
VIAM,12/24/95,1.752083324,1.370922896,-0.05,4.96,48,0
VIAM,12/25/95,-0.128124996,0.678423261,-1.84,1.2,48,0
VIAM,12/26/95,-1.226041663,0.596987969,-2.01,0.37,48,0
VIAM,12/27/95,-0.440625006,1.656104645,-3.14,3.48,48,0
VIAM,12/28/95,-2.626249999,1.042992058,-4.91,-1.47,48,0
VIAM,12/29/95,-3.239166684,0.735992119,-4.51,-1.63,48,0
VIAM,12/30/95,-3.646666663,1.00549836,-5.06,-1.58,48,0
VIAM,12/31/95,-3.056458327,0.889775213,-4.67,-1.11,48,0
VIAM,1/1/96,-3.876041653,0.857824399,-5.93,-1.86,48,0
VIAM,1/2/96,-5.851874987,0.509604159,-6.77,-4.91,48,0
VIAM,1/3/96,-4.862083326,0.855947796,-6.3,-3.57,48,0
VIAM,1/4/96,-4.529166669,1.080970476,-6.34,-2.71,48,0
VIAM,1/5/96,-5.055624997,0.895556161,-7.44,-3.95,48,0
VIAM,1/6/96,-6.019583349,1.498163352,-8.04,-3.78,48,0
VIAM,1/7/96,-3.946458355,0.726485253,-5.4,-2.67,48,0
VIAM,1/8/96,-3.362708305,0.825239465,-4.55,-1.2,48,0
VIAM,1/9/96,-3.15958335,1.349116288,-5.64,-1.04,48,0
VIAM,1/10/96,-0.649166667,1.468762436,-2.6,3.42,48,0
VIAM,1/11/96,0.42833332,1.53880075,-2.5,2.85,48,0
VIAM,1/12/96,-3.641458338,0.561820701,-4.54,-2.17,48,0
VIAM,1/13/96,-3.777708337,0.481032776,-4.65,-3.08,48,0
VIAM,1/14/96,-3.75833332,0.680939047,-4.87,-2.65,48,0
VIAM,1/15/96,-4.438750004,0.630726113,-5.65,-3.02,48,0
VIAM,1/16/96,-4.011041676,0.998784887,-5.61,-2.33,48,0
VIAM,1/17/96,-3.500000005,0.945459495,-5.12,-2.23,48,0
